,Snelheid,Omvang1,Positie1,Omvang2,Positie2,Relatie,Speed
87,1.0,60.0,15.0,60.0,75.0,15.0,2.7464214899344697
88,1.0,60.0,45.0,75.0,-90.0,30.0,4.788988469762548
89,1.0,75.0,-60.0,0.0,45.0,-90.0,2.885381434839626
90,1.0,75.0,-45.0,30.0,30.0,-45.0,1.4845911109804648
91,1.0,75.0,-30.0,0.0,-75.0,15.0,1.069791392039436
92,1.0,75.0,-30.0,45.0,45.0,15.0,2.8674577348645958
93,1.0,75.0,-15.0,60.0,60.0,-60.0,2.4853858838551326
94,1.0,75.0,0.0,30.0,30.0,0.0,1.9930770838895187
95,1.0,75.0,15.0,0.0,-30.0,0.0,0.9695593234905331
96,1.0,75.0,15.0,60.0,-60.0,-30.0,2.696027508987201
97,1.0,75.0,30.0,45.0,0.0,45.0,3.2803269922315588
98,1.0,75.0,60.0,30.0,-45.0,15.0,2.360827647372348
99,1.0,75.0,60.0,30.0,15.0,-75.0,1.3726796449810146
100,2.0,0.0,-90.0,0.0,0.0,60.0,1.1714591612545884
101,2.0,0.0,-90.0,30.0,-30.0,0.0,1.7206327119283986
102,2.0,0.0,-75.0,45.0,30.0,-45.0,3.2903814690198794
103,2.0,0.0,-45.0,30.0,0.0,-45.0,1.9377695267048232
104,2.0,0.0,-15.0,30.0,-60.0,-75.0,1.4682261690409573
105,2.0,0.0,0.0,75.0,45.0,60.0,1.5852112421633229
106,2.0,0.0,45.0,0.0,-90.0,-45.0,1.784049760220141
107,2.0,0.0,45.0,75.0,-30.0,-75.0,2.0299774291018644
108,2.0,15.0,-60.0,15.0,-60.0,45.0,3.067417864358016
109,2.0,15.0,-45.0,30.0,30.0,-15.0,1.121898353790257
110,2.0,15.0,0.0,15.0,-30.0,-75.0,2.501162562071563
111,2.0,15.0,15.0,45.0,60.0,30.0,2.00233643645029
112,2.0,15.0,45.0,0.0,15.0,-45.0,1.412636813740817
113,2.0,15.0,60.0,75.0,45.0,45.0,1.762621829482992
114,2.0,30.0,-45.0,0.0,0.0,-45.0,1.381691819411566
115,2.0,30.0,-30.0,30.0,-15.0,75.0,2.102057571111665
116,2.0,30.0,-30.0,45.0,-15.0,-45.0,1.9988082251783084
117,2.0,30.0,30.0,15.0,15.0,60.0,2.669173301623841
118,2.0,30.0,60.0,15.0,60.0,0.0,1.2150536461359926
119,2.0,30.0,60.0,45.0,-15.0,75.0,3.5599614788183076
120,2.0,30.0,60.0,45.0,30.0,0.0,2.6135921631693377
121,2.0,30.0,75.0,0.0,-45.0,-30.0,2.024060271330113
122,2.0,30.0,75.0,30.0,-90.0,-90.0,2.0234830130968264
123,2.0,45.0,-90.0,60.0,45.0,60.0,2.253198478197845
124,2.0,45.0,-75.0,15.0,-90.0,30.0,1.8545113372165805
125,2.0,45.0,-30.0,15.0,0.0,-60.0,4.241022506417368
126,2.0,45.0,15.0,30.0,-90.0,30.0,2.0588694916753645
127,2.0,45.0,15.0,30.0,0.0,60.0,2.651175859791403
128,2.0,45.0,45.0,60.0,-30.0,-60.0,2.585456104732742
129,2.0,60.0,-75.0,60.0,60.0,60.0,2.916673547875299
130,2.0,60.0,-45.0,15.0,75.0,-60.0,2.3715856287434898
131,2.0,60.0,-45.0,30.0,0.0,-15.0,1.5545712555422457
132,2.0,60.0,-15.0,60.0,-90.0,-75.0,4.18965359131722
133,2.0,60.0,-15.0,60.0,-30.0,-30.0,2.6053493890320842
134,2.0,60.0,-15.0,75.0,0.0,-90.0,2.945857496380912
135,2.0,60.0,30.0,75.0,0.0,-45.0,4.00486838872801
136,2.0,75.0,-90.0,30.0,60.0,-75.0,2.6477408554371222
137,2.0,75.0,-75.0,45.0,-30.0,0.0,2.9359252826311444
138,2.0,75.0,-60.0,15.0,30.0,60.0,2.499877571061835
139,2.0,75.0,-45.0,75.0,60.0,15.0,2.7683138490920705
140,2.0,75.0,-30.0,45.0,45.0,-60.0,3.540645986917749
141,2.0,75.0,-15.0,75.0,60.0,30.0,3.5551299526108986
142,2.0,75.0,15.0,15.0,-60.0,30.0,2.71574252186706
143,2.0,75.0,15.0,60.0,60.0,30.0,3.585474991336919
144,2.0,75.0,30.0,60.0,-60.0,-45.0,3.1902255952073633
145,2.0,75.0,45.0,60.0,-30.0,-45.0,3.2134744902926142
146,2.0,75.0,60.0,45.0,60.0,-15.0,2.159019597010284
147,3.0,0.0,-90.0,30.0,-90.0,15.0,1.5454693074457393
148,3.0,0.0,-60.0,30.0,-75.0,45.0,1.2940050528109366
149,3.0,0.0,-60.0,30.0,-45.0,45.0,2.6310101162679636
150,3.0,0.0,0.0,45.0,75.0,-30.0,2.6383541909894737
151,3.0,0.0,30.0,60.0,-75.0,45.0,1.600118768130793
152,3.0,0.0,45.0,15.0,-60.0,0.0,3.1117643468677154
153,3.0,0.0,45.0,15.0,-30.0,0.0,0.538057492192597
154,3.0,0.0,75.0,60.0,-15.0,75.0,2.6858268928748315
155,3.0,15.0,-90.0,75.0,-30.0,75.0,3.0658653785183474
156,3.0,15.0,-75.0,0.0,-45.0,60.0,1.0869883640109077
157,3.0,15.0,-75.0,0.0,15.0,-30.0,1.4366801080610263
158,3.0,15.0,-60.0,0.0,75.0,-15.0,2.005153001533509
159,3.0,15.0,-45.0,30.0,75.0,0.0,3.2617482866881815
160,3.0,15.0,-15.0,45.0,0.0,-45.0,2.541298442139634
161,3.0,15.0,45.0,60.0,15.0,75.0,2.6792085967336225
162,3.0,15.0,45.0,75.0,15.0,15.0,2.631288596132918
163,3.0,15.0,60.0,0.0,-15.0,-60.0,0.9976907845508753
164,3.0,15.0,60.0,60.0,75.0,-30.0,2.6394212039812466
165,3.0,30.0,-75.0,15.0,60.0,-90.0,3.215763130027592
166,3.0,30.0,-75.0,45.0,-45.0,-90.0,3.183726664831987
167,3.0,30.0,-75.0,60.0,-60.0,60.0,3.800267273779516
168,3.0,30.0,-60.0,30.0,-75.0,0.0,3.128012459952997
169,3.0,30.0,-60.0,30.0,60.0,0.0,3.082540128760051
170,3.0,30.0,-45.0,0.0,-30.0,15.0,1.2657869159035555
171,3.0,30.0,0.0,30.0,75.0,-45.0,1.9312846166163502
172,3.0,30.0,15.0,30.0,-60.0,15.0,1.0508315606158363
173,3.0,30.0,60.0,30.0,75.0,-75.0,2.703833057502274
174,3.0,45.0,-90.0,45.0,-75.0,0.0,4.526931976014715
175,3.0,45.0,0.0,45.0,-75.0,45.0,1.8576819216781857
176,3.0,45.0,0.0,75.0,75.0,75.0,5.11881078348067
177,3.0,45.0,45.0,30.0,45.0,75.0,3.574865502130302
178,3.0,45.0,60.0,60.0,45.0,-30.0,2.232686548064531
179,3.0,60.0,-90.0,0.0,45.0,-45.0,3.4596400236615663
180,3.0,60.0,-90.0,15.0,-60.0,-45.0,3.016270664857545
