['12:03:03.458', '[6. 4.]']
['12:03:03.485', '[7. 4.]']
['12:03:03.510', '[6. 4.]']
['12:03:03.533', '[6. 4.]']
['12:03:03.561', '[6. 4.]']
['12:03:03.581', '[6. 4.]']
['12:03:03.610', '[6. 5.]']
['12:03:03.631', '[6. 5.]']
['12:03:03.660', '[6. 4.]']
['12:03:03.681', '[6. 4.]']
['12:03:03.709', '[6. 4.]']
['12:03:03.733', '[6. 5.]']
['12:03:03.760', '[6. 4.]']
['12:03:03.782', '[6. 4.]']
['12:03:03.810', '[6. 4.]']
['12:03:03.832', '[6. 5.]']
['12:03:03.860', '[6. 4.]']
['12:03:03.885', '[6. 4.]']
['12:03:03.911', '[7. 4.]']
['12:03:03.934', '[6. 4.]']
['12:03:03.960', '[6. 4.]']
['12:03:03.983', '[6. 4.]']
['12:03:04.010', '[6. 4.]']
['12:03:04.033', '[6. 4.]']
['12:03:04.061', '[6. 4.]']
['12:03:04.084', '[7. 4.]']
['12:03:04.111', '[6. 4.]']
['12:03:04.133', '[6. 4.]']
['12:03:04.161', '[6. 4.]']
['12:03:04.183', '[6. 4.]']
['12:03:04.211', '[6. 4.]']
['12:03:04.234', '[6. 4.]']
['12:03:04.260', '[6. 4.]']
['12:03:04.283', '[6. 4.]']
['12:03:04.311', '[6. 4.]']
['12:03:04.333', '[6. 4.]']
['12:03:04.360', '[6. 4.]']
['12:03:04.383', '[6. 4.]']
['12:03:04.411', '[6. 4.]']
['12:03:04.434', '[6. 4.]']
['12:03:04.459', '[6. 4.]']
['12:03:04.483', '[6. 4.]']
['12:03:04.510', '[6. 4.]']
['12:03:04.534', '[6. 4.]']
['12:03:04.560', '[6. 4.]']
['12:03:04.581', '[6. 5.]']
['12:03:04.610', '[6. 4.]']
['12:03:04.632', '[6. 4.]']
['12:03:04.658', '[6. 4.]']
['12:03:04.682', '[6. 4.]']
['12:03:04.709', '[6. 4.]']
['12:03:04.734', '[6. 4.]']
['12:03:04.758', '[6. 4.]']
['12:03:04.782', '[6. 4.]']
['12:03:04.807', '[6. 4.]']
['12:03:04.832', '[6. 4.]']
['12:03:04.857', '[6. 4.]']
['12:03:04.884', '[6. 4.]']
['12:03:04.909', '[6. 4.]']
['12:03:04.935', '[6. 4.]']
['12:03:04.958', '[6. 4.]']
['12:03:04.984', '[6. 4.]']
['12:03:05.008', '[6. 4.]']
['12:03:05.033', '[6. 4.]']
['12:03:05.056', '[6. 4.]']
['12:03:05.081', '[6. 4.]']
['12:03:05.108', '[6. 5.]']
['12:03:05.133', '[6. 4.]']
['12:03:05.156', '[6. 4.]']
['12:03:05.181', '[6. 4.]']
['12:03:05.206', '[6. 4.]']
['12:03:05.233', '[6. 4.]']
['12:03:05.259', '[6. 4.]']
['12:03:05.285', '[6. 4.]']
['12:03:05.308', '[6. 4.]']
['12:03:05.334', '[6. 4.]']
['12:03:05.358', '[6. 4.]']
['12:03:05.384', '[6. 4.]']
['12:03:05.408', '[6. 4.]']
['12:03:05.434', '[6. 4.]']
['12:03:05.456', '[6. 5.]']
['12:03:05.483', '[6. 4.]']
['12:03:05.508', '[6. 4.]']
['12:03:05.534', '[6. 4.]']
['12:03:05.559', '[6. 4.]']
['12:03:05.584', '[6. 5.]']
['12:03:05.608', '[6. 4.]']
['12:03:05.632', '[6. 4.]']
['12:03:05.657', '[6. 4.]']
['12:03:05.685', '[6. 4.]']
['12:03:05.709', '[6. 4.]']
['12:03:05.774', '[6. 4.]']
['12:03:05.795', '[6. 4.]']
['12:03:05.814', '[6. 4.]']
['12:03:05.832', '[6. 5.]']
['12:03:05.851', '[7. 4.]']
['12:03:05.866', '[7. 4.]']
['12:03:05.886', '[6. 4.]']
['12:03:05.909', '[6. 5.]']
['12:03:05.960', '[5. 4.]']
['12:03:05.977', '[6. 4.]']
['12:03:05.993', '[7. 4.]']
['12:03:06.010', '[6. 5.]']
['12:03:06.036', '[6. 5.]']
['12:03:06.061', '[6. 4.]']
['12:03:06.083', '[6. 4.]']
['12:03:06.108', '[6. 4.]']
['12:03:06.134', '[6. 4.]']
['12:03:06.158', '[6. 4.]']
['12:03:06.184', '[6. 4.]']
['12:03:06.206', '[6. 4.]']
['12:03:06.234', '[6. 4.]']
['12:03:06.258', '[6. 4.]']
['12:03:06.283', '[6. 4.]']
['12:03:06.307', '[6. 4.]']
['12:03:06.335', '[6. 4.]']
['12:03:06.359', '[6. 4.]']
['12:03:06.385', '[6. 4.]']
['12:03:06.409', '[6. 4.]']
['12:03:06.433', '[6. 4.]']
['12:03:06.456', '[6. 4.]']
['12:03:06.483', '[6. 4.]']
['12:03:06.508', '[6. 4.]']
['12:03:06.534', '[6. 4.]']
['12:03:06.559', '[6. 4.]']
['12:03:06.585', '[6. 5.]']
['12:03:06.606', '[6. 4.]']
['12:03:06.633', '[6. 5.]']
['12:03:06.658', '[6. 4.]']
['12:03:06.683', '[6. 4.]']
['12:03:06.708', '[6. 4.]']
['12:03:06.735', '[6. 5.]']
['12:03:06.757', '[6. 4.]']
['12:03:06.782', '[6. 4.]']
['12:03:06.806', '[6. 4.]']
['12:03:06.833', '[6. 4.]']
['12:03:06.857', '[6. 4.]']
['12:03:06.883', '[6. 4.]']
['12:03:06.908', '[6. 4.]']
['12:03:06.934', '[6. 4.]']
['12:03:06.959', '[6. 4.]']
['12:03:06.983', '[6. 4.]']
['12:03:07.007', '[6. 4.]']
['12:03:07.036', '[6. 4.]']
['12:03:07.114', '[6. 4.]']
['12:03:07.128', '[6. 4.]']
['12:03:07.142', '[7. 4.]']
['12:03:07.156', '[6. 4.]']
['12:03:07.167', '[6. 4.]']
['12:03:07.184', '[6. 4.]']
['12:03:07.209', '[6. 5.]']
['12:03:07.234', '[6. 4.]']
['12:03:07.264', '[6. 4.]']
['12:03:07.285', '[6. 4.]']
['12:03:07.308', '[6. 4.]']
['12:03:07.334', '[6. 4.]']
['12:03:07.358', '[6. 4.]']
['12:03:07.382', '[6. 4.]']
['12:03:07.407', '[6. 4.]']
['12:03:07.434', '[6. 4.]']
['12:03:07.459', '[6. 4.]']
['12:03:07.482', '[6. 4.]']
['12:03:07.511', '[7. 4.]']
['12:03:07.541', '[6. 4.]']
['12:03:07.577', '[6. 4.]']
['12:03:07.601', '[6. 4.]']
['12:03:07.635', '[6. 4.]']
['12:03:07.654', '[6. 4.]']
['12:03:07.670', '[6. 4.]']
['12:03:07.686', '[6. 4.]']
['12:03:07.746', '[6. 4.]']
['12:03:07.760', '[6. 4.]']
['12:03:07.777', '[6. 4.]']
['12:03:07.794', '[7. 4.]']
['12:03:07.808', '[6. 5.]']
