['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['12:13:00.047', '0.0', '[15, 33]', '[-59, -7]', '[-20.0]']
['12:13:00.248', '0.0', '[15, 33]', '[21, -7]', '[-20.0]']
['12:13:00.667', '0.0', '[15, 33]', '[21, 9]', '[-20.0]']
['12:13:00.868', '0.0', '[15, 33]', '[21, 9]', '[56.0]']
['12:13:09.071', '0.6', '[15, 33]', '[21, 9]', '[56.0]']
['12:13:09.276', '0.6', '[63, 33]', '[21, 9]', '[56.0]']
['12:13:09.484', '0.6', '[63, 33]', '[-58, 9]', '[56.0]']
['12:13:09.691', '0.6', '[63, 64]', '[-58, 9]', '[56.0]']
['12:13:09.886', '0.6', '[63, 64]', '[-58, -68]', '[56.0]']
['12:13:10.090', '0.6', '[63, 64]', '[-58, -68]', '[-5.0]']
['12:13:18.332', '0.8', '[63, 64]', '[-58, -68]', '[-5.0]']
['12:13:18.737', '0.8', '[63, 64]', '[22, -68]', '[-5.0]']
['12:13:18.910', '0.8', '[63, 1]', '[22, -68]', '[-5.0]']
['12:13:19.115', '0.8', '[63, 1]', '[22, 24]', '[-5.0]']
['12:13:19.336', '0.8', '[63, 1]', '[22, 24]', '[56.0]']
['12:13:27.537', '0.1', '[63, 1]', '[22, 24]', '[56.0]']
['12:13:27.756', '0.1', '[31, 1]', '[22, 24]', '[56.0]']
['12:13:27.953', '0.1', '[31, 1]', '[-41, 24]', '[56.0]']
['12:13:28.205', '0.1', '[31, 33]', '[-41, 24]', '[56.0]']
['12:13:28.407', '0.1', '[31, 33]', '[-41, 85]', '[56.0]']
['12:13:28.557', '0.1', '[31, 33]', '[-41, 85]', '[-20.0]']
['12:13:36.805', '0.7', '[31, 33]', '[-41, 85]', '[-20.0]']
['12:13:37.003', '0.7', '[0, 33]', '[-41, 85]', '[-20.0]']
['12:13:37.203', '0.7', '[0, 33]', '[-56, 85]', '[-20.0]']
['12:13:37.406', '0.7', '[0, 48]', '[-56, 85]', '[-20.0]']
['12:13:37.605', '0.7', '[0, 48]', '[-56, -7]', '[-20.0]']
['12:13:37.828', '0.7', '[0, 48]', '[-56, -7]', '[86.0]']
['12:13:45.997', '0.2', '[0, 48]', '[-56, -7]', '[86.0]']
['12:13:46.199', '0.2', '[64, 48]', '[-56, -7]', '[86.0]']
['12:13:46.422', '0.2', '[64, 48]', '[-8, -7]', '[86.0]']
['12:13:46.825', '0.2', '[64, 48]', '[-8, -68]', '[86.0]']
['12:13:47.024', '0.2', '[64, 48]', '[-8, -68]', '[10.0]']
['12:13:55.448', '0.2', '[16, 48]', '[-8, -68]', '[10.0]']
['12:13:55.665', '0.2', '[16, 48]', '[-56, -68]', '[10.0]']
['12:13:56.066', '0.2', '[16, 48]', '[-56, 39]', '[10.0]']
['12:13:56.265', '0.2', '[16, 48]', '[-56, 39]', '[85.0]']
['12:14:04.483', '0.4', '[16, 48]', '[-56, 39]', '[85.0]']
['12:14:04.683', '0.4', '[48, 48]', '[-56, 39]', '[85.0]']
['12:14:04.886', '0.4', '[48, 48]', '[72, 39]', '[85.0]']
['12:14:05.285', '0.4', '[48, 48]', '[72, -37]', '[85.0]']
['12:14:05.486', '0.4', '[48, 48]', '[72, -37]', '[-82.0]']
['12:14:13.712', '0.3', '[48, 48]', '[72, -37]', '[-82.0]']
['12:14:13.909', '0.3', '[0, 48]', '[72, -37]', '[-82.0]']
['12:14:14.111', '0.3', '[0, 48]', '[56, -37]', '[-82.0]']
['12:14:14.315', '0.3', '[0, 17]', '[56, -37]', '[-82.0]']
['12:14:14.511', '0.3', '[0, 17]', '[56, -21]', '[-82.0]']
['12:14:14.711', '0.3', '[0, 17]', '[56, -21]', '[55.0]']
['12:14:22.936', '0.8', '[0, 17]', '[56, -21]', '[55.0]']
['12:14:23.122', '0.8', '[64, 17]', '[56, -21]', '[55.0]']
['12:14:23.326', '0.8', '[64, 17]', '[8, -21]', '[55.0]']
['12:14:23.759', '0.8', '[64, 17]', '[8, -52]', '[55.0]']
['12:14:23.944', '0.8', '[64, 17]', '[8, -52]', '[-6.0]']
['12:14:32.159', '0.2', '[64, 17]', '[8, -52]', '[-6.0]']
['12:14:32.363', '0.2', '[0, 17]', '[8, -52]', '[-6.0]']
['12:14:32.579', '0.2', '[0, 17]', '[71, -52]', '[-6.0]']
['12:14:32.980', '0.2', '[0, 17]', '[71, -21]', '[-6.0]']
['12:14:33.184', '0.2', '[0, 17]', '[71, -21]', '[39.0]']
['12:14:41.401', '0.8', '[0, 17]', '[71, -21]', '[39.0]']
['12:14:41.594', '0.8', '[48, 17]', '[71, -21]', '[39.0]']
['12:14:41.824', '0.8', '[48, 17]', '[86, -21]', '[39.0]']
['12:14:42.001', '0.8', '[48, 64]', '[86, -21]', '[39.0]']
['12:14:42.223', '0.8', '[48, 64]', '[86, -52]', '[39.0]']
['12:14:42.416', '0.8', '[48, 64]', '[86, -52]', '[-7.0]']
['12:14:50.645', '0.6', '[48, 64]', '[86, -52]', '[-7.0]']
['12:14:50.847', '0.6', '[64, 64]', '[86, -52]', '[-7.0]']
['12:14:51.245', '0.6', '[64, 48]', '[86, -52]', '[-7.0]']
['12:14:51.445', '0.6', '[64, 48]', '[86, 70]', '[-7.0]']
['12:14:51.648', '0.6', '[64, 48]', '[86, 70]', '[23.0]']
['12:14:59.868', '0.8', '[64, 48]', '[86, 70]', '[23.0]']
['12:15:00.067', '0.8', '[16, 48]', '[86, 70]', '[23.0]']
['12:15:00.270', '0.8', '[16, 48]', '[-58, 70]', '[23.0]']
['12:15:00.471', '0.8', '[16, 33]', '[-58, 70]', '[23.0]']
['12:15:00.675', '0.8', '[16, 33]', '[-58, 38]', '[23.0]']
['12:15:00.919', '0.8', '[16, 33]', '[-58, 38]', '[84.0]']
['12:15:09.117', '0.1', '[16, 33]', '[-58, 38]', '[84.0]']
['12:15:09.514', '0.1', '[16, 33]', '[7, 38]', '[84.0]']
['12:15:09.736', '0.1', '[16, 79]', '[7, 38]', '[84.0]']
['12:15:09.936', '0.1', '[16, 79]', '[7, -23]', '[84.0]']
['12:15:10.118', '0.1', '[16, 79]', '[7, -23]', '[-23.0]']
['12:15:18.337', '0.0', '[16, 79]', '[7, -23]', '[-23.0]']
['12:15:18.564', '0.0', '[80, 79]', '[7, -23]', '[-23.0]']
['12:15:18.781', '0.0', '[80, 79]', '[22, -23]', '[-23.0]']
['12:15:19.146', '0.0', '[80, 79]', '[22, -38]', '[-23.0]']
['12:15:19.350', '0.0', '[80, 79]', '[22, -38]', '[37.0]']
['12:15:27.559', '0.2', '[80, 79]', '[22, -38]', '[37.0]']
['12:15:27.782', '0.2', '[48, 79]', '[22, -38]', '[37.0]']
['12:15:27.980', '0.2', '[48, 79]', '[55, -38]', '[37.0]']
['12:15:28.402', '0.2', '[48, 79]', '[55, -68]', '[37.0]']
['12:15:36.825', '0.5', '[48, 79]', '[55, -68]', '[37.0]']
['12:15:37.027', '0.5', '[64, 79]', '[55, -68]', '[37.0]']
['12:15:37.228', '0.5', '[64, 79]', '[22, -68]', '[37.0]']
['12:15:37.627', '0.5', '[64, 79]', '[22, -81]', '[37.0]']
['12:15:37.824', '0.5', '[64, 79]', '[22, -81]', '[-70.0]']
['12:15:46.042', '0.8', '[64, 79]', '[22, -81]', '[-70.0]']
['12:15:46.445', '0.8', '[64, 79]', '[-57, -81]', '[-70.0]']
['12:15:46.645', '0.8', '[64, 16]', '[-57, -81]', '[-70.0]']
['12:15:46.846', '0.8', '[64, 16]', '[-57, -80]', '[-70.0]']
['12:15:47.049', '0.8', '[64, 16]', '[-57, -80]', '[-83.0]']
['12:15:55.266', '0.6', '[64, 16]', '[-57, -80]', '[-83.0]']
['12:15:55.469', '0.6', '[32, 16]', '[-57, -80]', '[-83.0]']
['12:15:55.671', '0.6', '[32, 16]', '[-9, -80]', '[-83.0]']
['12:15:55.869', '0.6', '[32, 79]', '[-9, -80]', '[-83.0]']
['12:15:56.076', '0.6', '[32, 79]', '[-9, -65]', '[-83.0]']
['12:15:56.296', '0.6', '[32, 79]', '[-9, -65]', '[23.0]']
['12:16:04.916', '0.6', '[32, 79]', '[39, -65]', '[23.0]']
['12:16:05.319', '0.6', '[32, 79]', '[39, 88]', '[23.0]']
['12:16:05.518', '0.6', '[32, 79]', '[39, 88]', '[-7.0]']
['12:16:13.740', '0.2', '[32, 79]', '[39, 88]', '[-7.0]']
['12:16:13.938', '0.2', '[0, 79]', '[39, 88]', '[-7.0]']
['12:16:14.136', '0.2', '[0, 79]', '[7, 88]', '[-7.0]']
['12:16:14.542', '0.2', '[0, 79]', '[7, -19]', '[-7.0]']
['12:16:22.986', '0.6', '[0, 79]', '[7, -19]', '[-7.0]']
['12:16:23.186', '0.6', '[16, 79]', '[7, -19]', '[-7.0]']
['12:16:23.387', '0.6', '[16, 79]', '[55, -19]', '[-7.0]']
['12:16:23.586', '0.6', '[16, 63]', '[55, -19]', '[-7.0]']
['12:16:23.785', '0.6', '[16, 63]', '[55, -50]', '[-7.0]']
['12:16:24.001', '0.6', '[16, 63]', '[55, -50]', '[23.0]']
['12:16:32.306', '0.7', '[16, 63]', '[55, -50]', '[23.0]']
['12:16:32.460', '0.7', '[32, 63]', '[55, -50]', '[23.0]']
['12:16:33.399', '0.7', '[32, 63]', '[7, -50]', '[23.0]']
['12:16:33.400', '0.7', '[32, 0]', '[7, -50]', '[23.0]']
['12:16:33.401', '0.7', '[32, 0]', '[7, 26]', '[23.0]']
['12:16:33.401', '0.7', '[32, 0]', '[7, 26]', '[-7.0]']
['12:16:41.509', '0.6', '[32, 0]', '[7, 26]', '[-7.0]']
['12:16:41.654', '0.6', '[64, 0]', '[7, 26]', '[-7.0]']
['12:16:41.876', '0.6', '[64, 0]', '[-10, 26]', '[-7.0]']
['12:16:42.074', '0.6', '[64, 47]', '[-10, 26]', '[-7.0]']
['12:16:42.274', '0.6', '[64, 47]', '[-10, -4]', '[-7.0]']
['12:16:42.471', '0.6', '[64, 47]', '[-10, -4]', '[9.0]']
['12:16:50.675', '0.1', '[64, 47]', '[-10, -4]', '[9.0]']
['12:16:50.878', '0.1', '[0, 47]', '[-10, -4]', '[9.0]']
['12:16:51.092', '0.1', '[0, 47]', '[-89, -4]', '[9.0]']
['12:16:51.293', '0.1', '[0, 32]', '[-89, -4]', '[9.0]']
['12:16:51.496', '0.1', '[0, 32]', '[-89, -50]', '[9.0]']
['12:16:51.696', '0.1', '[0, 32]', '[-89, -50]', '[-7.0]']
['12:16:59.919', '0.0', '[0, 32]', '[-89, -50]', '[-7.0]']
['12:17:00.145', '0.0', '[48, 32]', '[-89, -50]', '[-7.0]']
['12:17:00.321', '0.0', '[48, 32]', '[23, -50]', '[-7.0]']
['12:17:00.521', '0.0', '[48, 1]', '[23, -50]', '[-7.0]']
['12:17:00.720', '0.0', '[48, 1]', '[23, 72]', '[-7.0]']
['12:17:00.923', '0.0', '[48, 1]', '[23, 72]', '[38.0]']
['12:17:09.163', '0.5', '[48, 1]', '[23, 72]', '[38.0]']
['12:17:09.565', '0.5', '[48, 1]', '[39, 72]', '[38.0]']
['12:17:09.766', '0.5', '[48, 17]', '[39, 72]', '[38.0]']
['12:17:09.965', '0.5', '[48, 17]', '[39, 56]', '[38.0]']
['12:17:10.163', '0.5', '[48, 17]', '[39, 56]', '[-69.0]']
['12:17:18.391', '0.4', '[48, 17]', '[39, 56]', '[-69.0]']
['12:17:18.781', '0.4', '[48, 17]', '[-57, 56]', '[-69.0]']
['12:17:18.988', '0.4', '[48, 79]', '[-57, 56]', '[-69.0]']
['12:17:19.188', '0.4', '[48, 79]', '[-57, 86]', '[-69.0]']
['12:17:19.413', '0.4', '[48, 79]', '[-57, 86]', '[-37.0]']
['12:17:27.635', '0.9', '[48, 79]', '[-57, 86]', '[-37.0]']
['12:17:27.835', '0.9', '[16, 79]', '[-57, 86]', '[-37.0]']
['12:17:28.035', '0.9', '[16, 79]', '[8, 86]', '[-37.0]']
['12:17:28.235', '0.9', '[16, 16]', '[8, 86]', '[-37.0]']
['12:17:28.435', '0.9', '[16, 16]', '[8, 39]', '[-37.0]']
['12:17:28.632', '0.9', '[16, 16]', '[8, 39]', '[70.0]']
['12:17:36.846', '0.1', '[16, 16]', '[8, 39]', '[70.0]']
['12:17:37.048', '0.1', '[32, 16]', '[8, 39]', '[70.0]']
['12:17:37.249', '0.1', '[32, 16]', '[87, 39]', '[70.0]']
['12:17:37.447', '0.1', '[32, 32]', '[87, 39]', '[70.0]']
['12:17:37.648', '0.1', '[32, 32]', '[87, -37]', '[70.0]']
['12:17:37.850', '0.1', '[32, 32]', '[87, -37]', '[-53.0]']
['12:17:46.074', '0.8', '[32, 32]', '[87, -37]', '[-53.0]']
['12:17:46.473', '0.8', '[32, 32]', '[-41, -37]', '[-53.0]']
['12:17:46.672', '0.8', '[32, 47]', '[-41, -37]', '[-53.0]']
['12:17:46.874', '0.8', '[32, 47]', '[-41, -21]', '[-53.0]']
['12:17:47.078', '0.8', '[32, 47]', '[-41, -21]', '[69.0]']
['12:17:55.322', '0.0', '[32, 47]', '[-41, -21]', '[69.0]']
['12:17:55.523', '0.0', '[0, 47]', '[-41, -21]', '[69.0]']
['12:17:55.722', '0.0', '[0, 47]', '[23, -21]', '[69.0]']
['12:17:55.921', '0.0', '[0, 63]', '[23, -21]', '[69.0]']
['12:17:56.319', '0.0', '[0, 63]', '[23, -21]', '[-83.0]']
['12:18:04.524', '0.6', '[0, 63]', '[23, -21]', '[-83.0]']
['12:18:04.726', '0.6', '[48, 63]', '[23, -21]', '[-83.0]']
['12:18:04.941', '0.6', '[48, 63]', '[-56, -21]', '[-83.0]']
['12:18:05.138', '0.6', '[48, 0]', '[-56, -21]', '[-83.0]']
['12:18:05.366', '0.6', '[48, 0]', '[-56, -81]', '[-83.0]']
['12:18:05.563', '0.6', '[48, 0]', '[-56, -81]', '[69.0]']
['12:18:13.789', '0.7', '[48, 0]', '[-56, -81]', '[69.0]']
['12:18:14.165', '0.7', '[48, 0]', '[72, -81]', '[69.0]']
['12:18:14.366', '0.7', '[48, 47]', '[72, -81]', '[69.0]']
['12:18:14.607', '0.7', '[48, 47]', '[72, 11]', '[69.0]']
['12:18:14.771', '0.7', '[48, 47]', '[72, 11]', '[8.0]']
['12:18:23.004', '0.0', '[48, 47]', '[72, 11]', '[8.0]']
['12:18:23.188', '0.0', '[64, 47]', '[72, 11]', '[8.0]']
['12:18:23.392', '0.0', '[64, 47]', '[-40, 11]', '[8.0]']
['12:18:23.597', '0.0', '[64, 0]', '[-40, 11]', '[8.0]']
['12:18:23.800', '0.0', '[64, 0]', '[-40, -80]', '[8.0]']
['12:18:24.008', '0.0', '[64, 0]', '[-40, -80]', '[22.0]']
['12:18:32.233', '0.6', '[64, 0]', '[-40, -80]', '[22.0]']
['12:18:32.452', '0.6', '[79, 0]', '[-40, -80]', '[22.0]']
['12:18:32.627', '0.6', '[79, 0]', '[40, -80]', '[22.0]']
['12:18:32.880', '0.6', '[79, 63]', '[40, -80]', '[22.0]']
['12:18:33.036', '0.6', '[79, 63]', '[40, -34]', '[22.0]']
['12:18:41.453', '0.5', '[79, 63]', '[40, -34]', '[22.0]']
['12:18:41.653', '0.5', '[63, 63]', '[40, -34]', '[22.0]']
['12:18:41.873', '0.5', '[63, 63]', '[-9, -34]', '[22.0]']
['12:18:42.075', '0.5', '[63, 47]', '[-9, -34]', '[22.0]']
['12:18:42.278', '0.5', '[63, 47]', '[-9, -79]', '[22.0]']
['12:18:42.473', '0.5', '[63, 47]', '[-9, -79]', '[8.0]']
['12:18:50.679', '0.8', '[63, 47]', '[-9, -79]', '[8.0]']
['12:18:50.900', '0.8', '[0, 47]', '[-9, -79]', '[8.0]']
['12:18:51.117', '0.8', '[0, 47]', '[-73, -79]', '[8.0]']
['12:18:51.516', '0.8', '[0, 47]', '[-73, 42]', '[8.0]']
['12:18:51.703', '0.8', '[0, 47]', '[-73, 42]', '[22.0]']
['12:18:59.940', '0.6', '[0, 47]', '[-73, 42]', '[22.0]']
['12:19:00.324', '0.6', '[0, 47]', '[-8, 42]', '[22.0]']
['12:19:00.745', '0.6', '[0, 47]', '[-8, -4]', '[22.0]']
['12:19:00.964', '0.6', '[0, 47]', '[-8, -4]', '[68.0]']
['12:19:09.165', '0.0', '[0, 47]', '[-8, -4]', '[68.0]']
['12:19:09.386', '0.0', '[64, 47]', '[-8, -4]', '[68.0]']
['12:19:09.559', '0.0', '[64, 47]', '[88, -4]', '[68.0]']
['12:19:09.764', '0.0', '[64, 78]', '[88, -4]', '[68.0]']
['12:19:09.966', '0.0', '[64, 78]', '[88, 11]', '[68.0]']
['12:19:10.164', '0.0', '[64, 78]', '[88, 11]', '[-39.0]']
['12:19:18.370', '0.4', '[64, 78]', '[88, 11]', '[-39.0]']
['12:19:18.605', '0.4', '[32, 78]', '[88, 11]', '[-39.0]']
['12:19:18.778', '0.4', '[32, 78]', '[8, 11]', '[-39.0]']
['12:19:19.033', '0.4', '[32, 31]', '[8, 11]', '[-39.0]']
['12:19:19.233', '0.4', '[32, 31]', '[8, 25]', '[-39.0]']
['12:19:19.395', '0.4', '[32, 31]', '[8, 25]', '[-8.0]']
['12:19:27.829', '0.4', '[48, 31]', '[8, 25]', '[-8.0]']
['12:19:28.031', '0.4', '[48, 31]', '[23, 25]', '[-8.0]']
['12:19:28.228', '0.4', '[48, 62]', '[23, 25]', '[-8.0]']
['12:19:28.429', '0.4', '[48, 62]', '[23, -35]', '[-8.0]']
['12:19:28.631', '0.4', '[48, 62]', '[23, -35]', '[22.0]']
['12:19:36.849', '0.7', '[48, 62]', '[23, -35]', '[22.0]']
['12:19:37.048', '0.7', '[32, 62]', '[23, -35]', '[22.0]']
['12:19:37.250', '0.7', '[32, 62]', '[56, -35]', '[22.0]']
['12:19:37.453', '0.7', '[32, 15]', '[56, -35]', '[22.0]']
['12:19:37.675', '0.7', '[32, 15]', '[56, -65]', '[22.0]']
['12:19:37.898', '0.7', '[32, 15]', '[56, -65]', '[37.0]']
['12:19:46.073', '0.6', '[32, 15]', '[56, -65]', '[37.0]']
['12:19:46.277', '0.6', '[16, 15]', '[56, -65]', '[37.0]']
['12:19:46.522', '0.6', '[16, 15]', '[-56, -65]', '[37.0]']
['12:19:46.722', '0.6', '[16, 0]', '[-56, -65]', '[37.0]']
['12:19:46.923', '0.6', '[16, 0]', '[-56, 73]', '[37.0]']
['12:19:47.121', '0.6', '[16, 0]', '[-56, 73]', '[-84.0]']
['12:19:55.336', '0.5', '[16, 0]', '[-56, 73]', '[-84.0]']
['12:19:55.923', '0.5', '[16, 32]', '[-56, 73]', '[-84.0]']
['12:19:56.141', '0.5', '[16, 32]', '[-56, -19]', '[-84.0]']
['12:19:56.364', '0.5', '[16, 32]', '[-56, -19]', '[68.0]']
['12:20:04.949', '0.5', '[16, 32]', '[88, -19]', '[68.0]']
['12:20:05.163', '0.5', '[16, 1]', '[88, -19]', '[68.0]']
['12:20:05.389', '0.5', '[16, 1]', '[88, 26]', '[68.0]']
['12:20:13.770', '0.0', '[16, 1]', '[88, 26]', '[68.0]']
['12:20:13.974', '0.0', '[80, 1]', '[88, 26]', '[68.0]']
['12:20:14.188', '0.0', '[80, 1]', '[-56, 26]', '[68.0]']
['12:20:14.406', '0.0', '[80, 17]', '[-56, 26]', '[68.0]']
['12:20:14.634', '0.0', '[80, 17]', '[-56, 11]', '[68.0]']
['12:20:14.793', '0.0', '[80, 17]', '[-56, 11]', '[-55.0]']
['12:20:23.006', '0.2', '[80, 17]', '[-56, 11]', '[-55.0]']
['12:20:23.425', '0.2', '[80, 17]', '[9, 11]', '[-55.0]']
['12:20:23.624', '0.2', '[80, 64]', '[9, 11]', '[-55.0]']
['12:20:23.825', '0.2', '[80, 64]', '[9, 56]', '[-55.0]']
['12:20:24.023', '0.2', '[80, 64]', '[9, 56]', '[-9.0]']
['12:20:32.248', '0.4', '[80, 64]', '[9, 56]', '[-9.0]']
['12:20:32.447', '0.4', '[64, 64]', '[9, 56]', '[-9.0]']
['12:20:32.648', '0.4', '[64, 64]', '[-24, 56]', '[-9.0]']
['12:20:32.849', '0.4', '[64, 1]', '[-24, 56]', '[-9.0]']
['12:20:33.049', '0.4', '[64, 1]', '[-24, -51]', '[-9.0]']
['12:20:33.252', '0.4', '[64, 1]', '[-24, -51]', '[-84.0]']
['12:20:41.473', '0.8', '[64, 1]', '[-24, -51]', '[-84.0]']
['12:20:41.674', '0.8', '[79, 1]', '[-24, -51]', '[-84.0]']
['12:20:41.871', '0.8', '[79, 1]', '[24, -51]', '[-84.0]']
['12:20:42.279', '0.8', '[79, 1]', '[24, 86]', '[-84.0]']
['12:20:42.523', '0.8', '[79, 1]', '[24, 86]', '[-8.0]']
['12:20:50.695', '0.0', '[79, 1]', '[24, 86]', '[-8.0]']
['12:20:50.905', '0.0', '[47, 1]', '[24, 86]', '[-8.0]']
['12:20:51.107', '0.0', '[47, 1]', '[88, 86]', '[-8.0]']
['12:20:51.340', '0.0', '[47, 64]', '[88, 86]', '[-8.0]']
['12:20:51.544', '0.0', '[47, 64]', '[88, 39]', '[-8.0]']
['12:20:51.740', '0.0', '[47, 64]', '[88, 39]', '[-69.0]']
['12:20:59.941', '0.9', '[47, 64]', '[88, 39]', '[-69.0]']
['12:21:00.165', '0.9', '[0, 64]', '[88, 39]', '[-69.0]']
['12:21:00.539', '0.9', '[0, 33]', '[88, 39]', '[-69.0]']
['12:21:00.743', '0.9', '[0, 33]', '[88, -37]', '[-69.0]']
['12:21:00.982', '0.9', '[0, 33]', '[88, -37]', '[-22.0]']
['12:21:09.361', '0.9', '[48, 33]', '[88, -37]', '[-22.0]']
['12:21:09.788', '0.9', '[48, 64]', '[88, -37]', '[-22.0]']
['12:21:09.986', '0.9', '[48, 64]', '[88, -81]', '[-22.0]']
['12:21:10.184', '0.9', '[48, 64]', '[88, -81]', '[38.0]']
['12:21:18.406', '0.1', '[48, 64]', '[88, -81]', '[38.0]']
['12:21:18.605', '0.1', '[16, 64]', '[88, -81]', '[38.0]']
['12:21:18.808', '0.1', '[16, 64]', '[8, -81]', '[38.0]']
['12:21:19.024', '0.1', '[16, 33]', '[8, -81]', '[38.0]']
['12:21:19.223', '0.1', '[16, 33]', '[8, 11]', '[38.0]']
['12:21:19.423', '0.1', '[16, 33]', '[8, 11]', '[-69.0]']
['12:21:27.649', '0.2', '[16, 33]', '[8, 11]', '[-69.0]']
['12:21:27.832', '0.2', '[80, 33]', '[8, 11]', '[-69.0]']
['12:21:28.050', '0.2', '[80, 33]', '[-88, 11]', '[-69.0]']
['12:21:28.246', '0.2', '[80, 64]', '[-88, 11]', '[-69.0]']
['12:21:28.451', '0.2', '[80, 64]', '[-88, 40]', '[-69.0]']
['12:21:28.647', '0.2', '[80, 64]', '[-88, 40]', '[84.0]']
['12:21:37.066', '0.2', '[16, 64]', '[-88, 40]', '[84.0]']
['12:21:37.478', '0.2', '[16, 17]', '[-88, 40]', '[84.0]']
['12:21:37.676', '0.2', '[16, 17]', '[-88, 24]', '[84.0]']
['12:21:37.893', '0.2', '[16, 17]', '[-88, 24]', '[-83.0]']
['12:21:46.317', '0.2', '[80, 17]', '[-88, 24]', '[-83.0]']
['12:21:46.515', '0.2', '[80, 17]', '[40, 24]', '[-83.0]']
['12:21:46.906', '0.2', '[80, 17]', '[40, 85]', '[-83.0]']
['12:21:47.142', '0.2', '[80, 17]', '[40, 85]', '[9.0]']
['12:21:55.343', '0.0', '[80, 17]', '[40, 85]', '[9.0]']
['12:21:55.539', '0.0', '[0, 17]', '[40, 85]', '[9.0]']
['12:21:55.763', '0.0', '[0, 17]', '[23, 85]', '[9.0]']
['12:21:55.930', '0.0', '[0, 33]', '[23, 85]', '[9.0]']
['12:21:56.142', '0.0', '[0, 33]', '[23, 38]', '[9.0]']
['12:21:56.367', '0.0', '[0, 33]', '[23, 38]', '[-82.0]']
['12:22:04.546', '0.7', '[0, 33]', '[23, 38]', '[-82.0]']
['12:22:04.751', '0.7', '[64, 33]', '[23, 38]', '[-82.0]']
['12:22:04.956', '0.7', '[64, 33]', '[-40, 38]', '[-82.0]']
['12:22:05.183', '0.7', '[64, 79]', '[-40, 38]', '[-82.0]']
['12:22:05.383', '0.7', '[64, 79]', '[-40, 68]', '[-82.0]']
['12:22:05.608', '0.7', '[64, 79]', '[-40, 68]', '[39.0]']
['12:22:13.979', '0.7', '[16, 79]', '[-40, 68]', '[39.0]']
['12:22:14.605', '0.7', '[16, 79]', '[-40, 7]', '[39.0]']
['12:22:14.805', '0.7', '[16, 79]', '[-40, 7]', '[-7.0]']
['12:22:23.030', '0.8', '[16, 79]', '[-40, 7]', '[-7.0]']
['12:22:23.227', '0.8', '[32, 79]', '[-40, 7]', '[-7.0]']
['12:22:23.428', '0.8', '[32, 79]', '[72, 7]', '[-7.0]']
['12:22:23.629', '0.8', '[32, 63]', '[72, 7]', '[-7.0]']
['12:22:23.873', '0.8', '[32, 63]', '[72, -39]', '[-7.0]']
['12:22:24.054', '0.8', '[32, 63]', '[72, -39]', '[-68.0]']
['12:22:32.275', '0.7', '[32, 63]', '[72, -39]', '[-68.0]']
['12:22:32.450', '0.7', '[0, 63]', '[72, -39]', '[-68.0]']
['12:22:32.653', '0.7', '[0, 63]', '[39, -39]', '[-68.0]']
['12:22:32.857', '0.7', '[0, 16]', '[39, -39]', '[-68.0]']
['12:22:33.076', '0.7', '[0, 16]', '[39, -83]', '[-68.0]']
['12:22:33.275', '0.7', '[0, 16]', '[39, -83]', '[85.0]']
['12:22:41.474', '0.9', '[0, 16]', '[39, -83]', '[85.0]']
['12:22:41.678', '0.9', '[16, 16]', '[39, -83]', '[85.0]']
['12:22:41.897', '0.9', '[16, 16]', '[7, -83]', '[85.0]']
['12:22:42.315', '0.9', '[16, 16]', '[7, -37]', '[85.0]']
['12:22:42.514', '0.9', '[16, 16]', '[7, -37]', '[-37.0]']
['12:22:50.940', '0.9', '[0, 16]', '[7, -37]', '[-37.0]']
['12:22:51.143', '0.9', '[0, 16]', '[22, -37]', '[-37.0]']
['12:22:51.559', '0.9', '[0, 16]', '[22, 10]', '[-37.0]']
['12:22:59.954', '0.3', '[0, 16]', '[22, 10]', '[-37.0]']
['12:23:00.146', '0.3', '[80, 16]', '[22, 10]', '[-37.0]']
['12:23:00.350', '0.3', '[80, 16]', '[-10, 10]', '[-37.0]']
['12:23:00.554', '0.3', '[80, 1]', '[-10, 10]', '[-37.0]']
['12:23:00.809', '0.3', '[80, 1]', '[-10, -67]', '[-37.0]']
['12:23:01.008', '0.3', '[80, 1]', '[-10, -67]', '[39.0]']
['12:23:09.197', '0.7', '[80, 1]', '[-10, -67]', '[39.0]']
['12:23:09.604', '0.7', '[80, 1]', '[70, -67]', '[39.0]']
['12:23:10.003', '0.7', '[80, 1]', '[70, -20]', '[39.0]']
['12:23:10.203', '0.7', '[80, 1]', '[70, -20]', '[69.0]']
['12:23:18.426', '0.5', '[80, 1]', '[70, -20]', '[69.0]']
['12:23:18.625', '0.5', '[48, 1]', '[70, -20]', '[69.0]']
['12:23:18.824', '0.5', '[48, 1]', '[-58, -20]', '[69.0]']
['12:23:19.026', '0.5', '[48, 17]', '[-58, -20]', '[69.0]']
['12:23:19.231', '0.5', '[48, 17]', '[-58, -35]', '[69.0]']
['12:23:27.673', '0.9', '[48, 17]', '[-58, -35]', '[69.0]']
['12:23:27.871', '0.9', '[0, 17]', '[-58, -35]', '[69.0]']
['12:23:28.272', '0.9', '[0, 64]', '[-58, -35]', '[69.0]']
['12:23:28.493', '0.9', '[0, 64]', '[-58, -50]', '[69.0]']
['12:23:36.894', '0.3', '[0, 64]', '[-58, -50]', '[69.0]']
['12:23:37.095', '0.3', '[48, 64]', '[-58, -50]', '[69.0]']
