['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['12:05:08.987', '0.0', '[64, 16]', '[38, -28]', '[-41.0]']
['12:05:09.188', '0.0', '[48, 16]', '[38, -28]', '[-41.0]']
['12:05:09.386', '0.0', '[48, 16]', '[-27, -28]', '[-41.0]']
['12:05:09.789', '0.0', '[48, 16]', '[-27, -43]', '[-41.0]']
['12:05:09.994', '0.0', '[48, 16]', '[-27, -43]', '[-85.0]']
['12:05:18.208', '0.1', '[48, 16]', '[-27, -43]', '[-85.0]']
['12:05:18.613', '0.1', '[48, 16]', '[-58, -43]', '[-85.0]']
['12:05:18.813', '0.1', '[48, 1]', '[-58, -43]', '[-85.0]']
['12:05:19.017', '0.1', '[48, 1]', '[-58, 4]', '[-85.0]']
['12:05:19.262', '0.1', '[48, 1]', '[-58, 4]', '[67.0]']
['12:05:27.455', '0.0', '[48, 1]', '[-58, 4]', '[67.0]']
['12:05:27.883', '0.0', '[48, 1]', '[7, 4]', '[67.0]']
['12:05:28.084', '0.0', '[48, 48]', '[7, 4]', '[67.0]']
['12:05:28.483', '0.0', '[48, 48]', '[7, 4]', '[35.0]']
['12:05:36.671', '0.8', '[48, 48]', '[7, 4]', '[35.0]']
['12:05:36.907', '0.8', '[32, 48]', '[7, 4]', '[35.0]']
['12:05:37.105', '0.8', '[32, 48]', '[86, 4]', '[35.0]']
['12:05:37.305', '0.8', '[32, 1]', '[86, 4]', '[35.0]']
['12:05:37.504', '0.8', '[32, 1]', '[86, -27]', '[35.0]']
['12:05:37.733', '0.8', '[32, 1]', '[86, -27]', '[5.0]']
['12:05:45.904', '0.4', '[32, 1]', '[86, -27]', '[5.0]']
['12:05:46.103', '0.4', '[0, 1]', '[86, -27]', '[5.0]']
['12:05:46.330', '0.4', '[0, 1]', '[-90, -27]', '[5.0]']
['12:05:46.532', '0.4', '[0, 17]', '[-90, -27]', '[5.0]']
['12:05:46.731', '0.4', '[0, 17]', '[-90, -57]', '[5.0]']
['12:05:46.921', '0.4', '[0, 17]', '[-90, -57]', '[65.0]']
['12:05:55.379', '0.4', '[32, 17]', '[-90, -57]', '[65.0]']
['12:05:55.554', '0.4', '[32, 17]', '[86, -57]', '[65.0]']
['12:05:55.745', '0.4', '[32, 48]', '[86, -57]', '[65.0]']
['12:05:55.978', '0.4', '[32, 48]', '[86, -86]', '[65.0]']
['12:05:56.178', '0.4', '[32, 48]', '[86, -86]', '[-42.0]']
['12:06:04.399', '0.2', '[32, 48]', '[86, -86]', '[-42.0]']
['12:06:04.599', '0.2', '[16, 48]', '[86, -86]', '[-42.0]']
['12:06:04.799', '0.2', '[16, 48]', '[37, -86]', '[-42.0]']
['12:06:05.020', '0.2', '[16, 79]', '[37, -86]', '[-42.0]']
['12:06:05.178', '0.2', '[16, 79]', '[37, -56]', '[-42.0]']
['12:06:05.421', '0.2', '[16, 79]', '[37, -56]', '[34.0]']
['12:06:13.622', '0.5', '[16, 79]', '[37, -56]', '[34.0]']
['12:06:13.822', '0.5', '[80, 79]', '[37, -56]', '[34.0]']
['12:06:14.046', '0.5', '[80, 79]', '[68, -56]', '[34.0]']
['12:06:14.206', '0.5', '[80, 1]', '[68, -56]', '[34.0]']
['12:06:14.423', '0.5', '[80, 1]', '[68, 20]', '[34.0]']
['12:06:22.890', '0.8', '[80, 1]', '[68, 20]', '[34.0]']
['12:06:23.045', '0.8', '[32, 1]', '[68, 20]', '[34.0]']
['12:06:23.247', '0.8', '[32, 1]', '[-77, 20]', '[34.0]']
['12:06:23.444', '0.8', '[32, 79]', '[-77, 20]', '[34.0]']
['12:06:23.665', '0.8', '[32, 79]', '[-77, 81]', '[34.0]']
['12:06:23.863', '0.8', '[32, 79]', '[-77, 81]', '[-11.0]']
['12:06:32.070', '0.2', '[32, 79]', '[-77, 81]', '[-11.0]']
['12:06:33.723', '0.2', '[32, 79]', '[-44, 81]', '[-11.0]']
['12:06:33.724', '0.2', '[32, 1]', '[-44, 81]', '[-11.0]']
['12:06:33.724', '0.2', '[32, 1]', '[-44, 34]', '[-11.0]']
['12:06:33.724', '0.2', '[32, 1]', '[-44, 34]', '[5.0]']
['12:06:41.318', '0.7', '[32, 1]', '[-44, 34]', '[5.0]']
['12:06:41.737', '0.7', '[32, 1]', '[-28, 34]', '[5.0]']
['12:06:41.920', '0.7', '[32, 64]', '[-28, 34]', '[5.0]']
['12:06:42.135', '0.7', '[32, 64]', '[-28, -73]', '[5.0]']
['12:06:42.337', '0.7', '[32, 64]', '[-28, -73]', '[-41.0]']
['12:06:50.764', '0.7', '[48, 64]', '[-28, -73]', '[-41.0]']
['12:06:50.960', '0.7', '[48, 64]', '[-76, -73]', '[-41.0]']
['12:06:51.166', '0.7', '[48, 48]', '[-76, -73]', '[-41.0]']
['12:06:51.365', '0.7', '[48, 48]', '[-76, 50]', '[-41.0]']
['12:06:51.560', '0.7', '[48, 48]', '[-76, 50]', '[6.0]']
['12:06:59.788', '0.3', '[48, 48]', '[-76, 50]', '[6.0]']
['12:06:59.982', '0.3', '[64, 48]', '[-76, 50]', '[6.0]']
['12:07:00.183', '0.3', '[64, 48]', '[36, 50]', '[6.0]']
['12:07:00.392', '0.3', '[64, 17]', '[36, 50]', '[6.0]']
['12:07:00.587', '0.3', '[64, 17]', '[36, 19]', '[6.0]']
['12:07:00.792', '0.3', '[64, 17]', '[36, 19]', '[-85.0]']
['12:07:09.006', '0.1', '[64, 17]', '[36, 19]', '[-85.0]']
['12:07:09.207', '0.1', '[0, 17]', '[36, 19]', '[-85.0]']
['12:07:09.411', '0.1', '[0, 17]', '[-60, 19]', '[-85.0]']
['12:07:09.614', '0.1', '[0, 48]', '[-60, 19]', '[-85.0]']
['12:07:09.820', '0.1', '[0, 48]', '[-60, -41]', '[-85.0]']
['12:07:10.056', '0.1', '[0, 48]', '[-60, -41]', '[-39.0]']
