['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['10:29:10.772', '0.0', '[0, 0]', '[-90, -90]', '[-11.0]']
['10:29:10.788', '0.0', '[0, 0]', '[-90, -90]', '[-27.0]']
['10:29:10.789', '0.0', '[0, 0]', '[-90, -90]', '[-29.0]']
['10:29:10.790', '0.0', '[0, 0]', '[-90, -90]', '[-31.0]']
['10:29:10.791', '0.0', '[0, 0]', '[-90, -90]', '[-32.0]']
['10:29:10.793', '0.0', '[0, 0]', '[-90, -90]', '[-36.0]']
['10:29:10.794', '0.0', '[0, 0]', '[-90, -90]', '[-37.0]']
['10:29:10.796', '0.0', '[0, 0]', '[-90, -90]', '[-39.0]']
['10:29:10.797', '0.0', '[0, 0]', '[-90, -90]', '[-41.0]']
['10:29:10.813', '0.0', '[0, 0]', '[-90, -90]', '[-69.0]']
['10:29:10.815', '0.0', '[0, 0]', '[-90, -90]', '[-75.0]']
['10:29:10.817', '0.0', '[0, 0]', '[-90, -90]', '[-80.0]']
['10:29:10.818', '0.0', '[0, 0]', '[-90, -90]', '[-82.0]']
['10:29:10.819', '0.0', '[0, 0]', '[-90, -90]', '[-86.0]']
['10:29:11.213', '0.0', '[0, 0]', '[-90, -90]', '[-89.0]']
['10:29:11.558', '0.0', '[0, 0]', '[-90, -90]', '[-90.0]']
['10:34:36.355', '0.5', '[0, 0]', '[-90, -90]', '[-90.0]']
['10:34:36.551', '0.5', '[80, 0]', '[-90, -90]', '[-90.0]']
['10:34:36.781', '0.5', '[80, 0]', '[-74, -90]', '[-90.0]']
['10:34:36.983', '0.5', '[80, 47]', '[-74, -90]', '[-90.0]']
['10:34:37.177', '0.5', '[80, 47]', '[-74, -13]', '[-90.0]']
['10:34:37.406', '0.5', '[80, 47]', '[-74, -13]', '[62.0]']
['10:34:41.576', '0.9', '[80, 47]', '[-74, -13]', '[62.0]']
['10:34:41.792', '0.9', '[64, 47]', '[-74, -13]', '[62.0]']
['10:34:41.991', '0.9', '[64, 47]', '[-40, -13]', '[62.0]']
['10:34:42.193', '0.9', '[64, 78]', '[-40, -13]', '[62.0]']
['10:34:42.393', '0.9', '[64, 78]', '[-40, 48]', '[62.0]']
['10:34:42.593', '0.9', '[64, 78]', '[-40, 48]', '[-30.0]']
['10:34:47.016', '0.9', '[0, 78]', '[-40, 48]', '[-30.0]']
['10:34:47.210', '0.9', '[0, 78]', '[72, 48]', '[-30.0]']
['10:34:47.437', '0.9', '[0, 46]', '[72, 48]', '[-30.0]']
['10:34:47.638', '0.9', '[0, 46]', '[72, 79]', '[-30.0]']
['10:34:47.838', '0.9', '[0, 46]', '[72, 79]', '[-60.0]']
STOP
['10:35:07.878', '0.0', '[0.0, 0]', '[0, 0]', '[0.0]']
['10:35:09.481', '0.0', '[0.0, 0]', '[-1, 0]', '[0.0]']
['10:35:09.493', '0.0', '[0.0, 0]', '[-3, 0]', '[0.0]']
['10:35:09.534', '0.0', '[0.0, 0]', '[-4, 0]', '[0.0]']
['10:35:09.535', '0.0', '[0.0, 0]', '[-7, 0]', '[0.0]']
['10:35:09.540', '0.0', '[0.0, 0]', '[-8, 0]', '[0.0]']
['10:35:09.545', '0.0', '[0.0, 0]', '[-9, 0]', '[0.0]']
['10:35:09.551', '0.0', '[0.0, 0]', '[-10, 0]', '[0.0]']
['10:35:09.584', '0.0', '[0.0, 0]', '[-58, 0]', '[0.0]']
['10:35:09.587', '0.0', '[0.0, 0]', '[-69, 0]', '[0.0]']
['10:35:09.591', '0.0', '[0.0, 0]', '[-82, 0]', '[0.0]']
['10:35:09.596', '0.0', '[0.0, 0]', '[-90, 0]', '[0.0]']
['10:35:10.357', '0.0', '[0.0, 0]', '[-90, -1]', '[0.0]']
['10:35:10.362', '0.0', '[0.0, 0]', '[-90, -2]', '[0.0]']
['10:35:10.368', '0.0', '[0.0, 0]', '[-90, -3]', '[0.0]']
['10:35:10.371', '0.0', '[0.0, 0]', '[-90, -4]', '[0.0]']
['10:35:10.372', '0.0', '[0.0, 0]', '[-90, -6]', '[0.0]']
['10:35:10.374', '0.0', '[0.0, 0]', '[-90, -8]', '[0.0]']
['10:35:10.376', '0.0', '[0.0, 0]', '[-90, -9]', '[0.0]']
['10:35:10.406', '0.0', '[0.0, 0]', '[-90, -86]', '[0.0]']
['10:35:10.408', '0.0', '[0.0, 0]', '[-90, -90]', '[0.0]']
['10:35:10.984', '0.0', '[0.0, 0]', '[-90, -90]', '[-1.0]']
['10:35:10.998', '0.0', '[0.0, 0]', '[-90, -90]', '[-2.0]']
['10:35:11.053', '0.0', '[0.0, 0]', '[-90, -90]', '[-10.0]']
['10:35:11.065', '0.0', '[0.0, 0]', '[-90, -90]', '[-11.0]']
['10:35:11.070', '0.0', '[0.0, 0]', '[-90, -90]', '[-12.0]']
['10:35:11.071', '0.0', '[0.0, 0]', '[-90, -90]', '[-13.0]']
['10:35:11.073', '0.0', '[0.0, 0]', '[-90, -90]', '[-14.0]']
['10:35:11.128', '0.0', '[0.0, 0]', '[-90, -90]', '[-90.0]']
['10:36:18.318', '0.5', '[0.0, 0]', '[-90, -90]', '[-90.0]']
['10:36:18.522', '0.5', '[80, 0]', '[-90, -90]', '[-90.0]']
['10:36:18.725', '0.5', '[80, 0]', '[-74, -90]', '[-90.0]']
['10:36:18.976', '0.5', '[80, 47]', '[-74, -90]', '[-90.0]']
['10:36:19.180', '0.5', '[80, 47]', '[-74, -13]', '[-90.0]']
['10:36:19.339', '0.5', '[80, 47]', '[-74, -13]', '[62.0]']
['10:36:23.549', '0.9', '[80, 47]', '[-74, -13]', '[62.0]']
['10:36:23.749', '0.9', '[64, 47]', '[-74, -13]', '[62.0]']
['10:36:23.954', '0.9', '[64, 47]', '[-40, -13]', '[62.0]']
['10:36:24.168', '0.9', '[64, 78]', '[-40, -13]', '[62.0]']
['10:36:24.365', '0.9', '[64, 78]', '[-40, 48]', '[62.0]']
['10:36:24.573', '0.9', '[64, 78]', '[-40, 48]', '[-30.0]']
['10:36:28.987', '0.9', '[0, 78]', '[-40, 48]', '[-30.0]']
['10:36:29.187', '0.9', '[0, 78]', '[72, 48]', '[-30.0]']
['10:36:29.388', '0.9', '[0, 46]', '[72, 48]', '[-30.0]']
['10:36:29.590', '0.9', '[0, 46]', '[72, 79]', '[-30.0]']
['10:36:29.794', '0.9', '[0, 46]', '[72, 79]', '[-60.0]']
['10:36:34.008', '0.2', '[0, 46]', '[72, 79]', '[-60.0]']
['10:36:34.202', '0.2', '[16, 46]', '[72, 79]', '[-60.0]']
['10:36:34.453', '0.2', '[16, 46]', '[-25, 79]', '[-60.0]']
['10:36:34.612', '0.2', '[16, 62]', '[-25, 79]', '[-60.0]']
['10:36:34.827', '0.2', '[16, 62]', '[-25, 63]', '[-60.0]']
['10:36:35.020', '0.2', '[16, 62]', '[-25, 63]', '[-44.0]']
['10:36:39.227', '0.3', '[16, 62]', '[-25, 63]', '[-44.0]']
['10:36:39.446', '0.3', '[80, 62]', '[-25, 63]', '[-44.0]']
['10:36:39.672', '0.3', '[80, 62]', '[71, 63]', '[-44.0]']
['10:36:39.869', '0.3', '[80, 0]', '[71, 63]', '[-44.0]']
['10:36:40.062', '0.3', '[80, 0]', '[71, 78]', '[-44.0]']
['10:36:40.262', '0.3', '[80, 0]', '[71, 78]', '[-88.0]']
['10:36:44.463', '0.2', '[80, 0]', '[71, 78]', '[-88.0]']
['10:36:44.658', '0.2', '[64, 0]', '[71, 78]', '[-88.0]']
['10:36:44.885', '0.2', '[64, 0]', '[-26, 78]', '[-88.0]']
['10:36:45.274', '0.2', '[64, 0]', '[-26, 16]', '[-88.0]']
['10:36:45.475', '0.2', '[64, 0]', '[-26, 16]', '[-27.0]']
['10:36:49.722', '0.0', '[64, 0]', '[-26, 16]', '[-27.0]']
['10:36:49.899', '0.0', '[0, 0]', '[-26, 16]', '[-27.0]']
['10:36:50.094', '0.0', '[0, 0]', '[86, 16]', '[-27.0]']
['10:36:50.297', '0.0', '[0, 32]', '[86, 16]', '[-27.0]']
['10:36:50.499', '0.0', '[0, 32]', '[86, -75]', '[-27.0]']
['10:36:50.698', '0.0', '[0, 32]', '[86, -75]', '[-87.0]']
['10:36:54.915', '0.5', '[0, 32]', '[86, -75]', '[-87.0]']
['10:36:55.118', '0.5', '[16, 32]', '[86, -75]', '[-87.0]']
['10:36:55.321', '0.5', '[16, 32]', '[6, -75]', '[-87.0]']
['10:36:55.541', '0.5', '[16, 47]', '[6, -75]', '[-87.0]']
['10:36:55.741', '0.5', '[16, 47]', '[6, 48]', '[-87.0]']
['10:36:55.940', '0.5', '[16, 47]', '[6, 48]', '[-72.0]']
['10:37:00.155', '0.3', '[16, 47]', '[6, 48]', '[-72.0]']
['10:37:00.355', '0.3', '[64, 47]', '[6, 48]', '[-72.0]']
['10:37:00.540', '0.3', '[64, 47]', '[-42, 48]', '[-72.0]']
['10:37:00.745', '0.3', '[64, 78]', '[-42, 48]', '[-72.0]']
['10:37:00.955', '0.3', '[64, 78]', '[-42, -28]', '[-72.0]']
['10:37:01.157', '0.3', '[64, 78]', '[-42, -28]', '[81.0]']
['10:37:05.374', '0.8', '[64, 78]', '[-42, -28]', '[81.0]']
['10:37:05.574', '0.8', '[32, 78]', '[-42, -28]', '[81.0]']
['10:37:05.775', '0.8', '[32, 78]', '[7, -28]', '[81.0]']
['10:37:06.191', '0.8', '[32, 78]', '[7, 17]', '[81.0]']
['10:37:10.598', '0.5', '[32, 78]', '[7, 17]', '[81.0]']
STOP
['10:37:10.871', '0.5', '[32, 78]', '[7, 17]', '[81.0]']
STOP
['10:37:11.213', '0.5', '[32, 78]', '[7, 17]', '[81.0]']
STOP
['10:37:20.482', '0.5', '[32, 78]', '[7, 17]', '[81.0]']
STOP
['10:37:20.647', '0.5', '[32, 78]', '[7, 17]', '[81.0]']
STOP
['10:37:21.221', '0.0', '[0, 0]', '[0, 0]', '[0.0]']
['10:37:21.346', '0.0', '[0.0, 0.0]', '[0.0, 0.0]', '[0.0]']
['10:39:25.629', '0.0', '[0.0, 0.0]', '[-1, 0.0]', '[0.0]']
['10:39:25.649', '0.0', '[0.0, 0.0]', '[-2, 0.0]', '[0.0]']
['10:39:25.651', '0.0', '[0.0, 0.0]', '[-9, 0.0]', '[0.0]']
['10:39:25.652', '0.0', '[0.0, 0.0]', '[-11, 0.0]', '[0.0]']
['10:39:25.654', '0.0', '[0.0, 0.0]', '[-12, 0.0]', '[0.0]']
['10:39:25.673', '0.0', '[0.0, 0.0]', '[-16, 0.0]', '[0.0]']
['10:39:25.674', '0.0', '[0.0, 0.0]', '[-17, 0.0]', '[0.0]']
['10:39:25.696', '0.0', '[0.0, 0.0]', '[-18, 0.0]', '[0.0]']
['10:39:25.696', '0.0', '[0.0, 0.0]', '[-21, 0.0]', '[0.0]']
['10:39:25.697', '0.0', '[0.0, 0.0]', '[-23, 0.0]', '[0.0]']
['10:39:25.699', '0.0', '[0.0, 0.0]', '[-24, 0.0]', '[0.0]']
['10:39:25.701', '0.0', '[0.0, 0.0]', '[-26, 0.0]', '[0.0]']
['10:39:25.702', '0.0', '[0.0, 0.0]', '[-27, 0.0]', '[0.0]']
['10:39:25.705', '0.0', '[0.0, 0.0]', '[-28, 0.0]', '[0.0]']
['10:39:25.728', '0.0', '[0.0, 0.0]', '[-61, 0.0]', '[0.0]']
['10:39:25.730', '0.0', '[0.0, 0.0]', '[-66, 0.0]', '[0.0]']
['10:39:25.752', '0.0', '[0.0, 0.0]', '[-90, 0.0]', '[0.0]']
['10:39:27.451', '0.0', '[0.0, 0.0]', '[-90, -1]', '[0.0]']
['10:39:27.522', '0.0', '[0.0, 0.0]', '[-90, -2]', '[0.0]']
['10:39:27.529', '0.0', '[0.0, 0.0]', '[-90, -3]', '[0.0]']
['10:39:27.548', '0.0', '[0.0, 0.0]', '[-90, -21]', '[0.0]']
['10:39:27.551', '0.0', '[0.0, 0.0]', '[-90, -28]', '[0.0]']
['10:39:27.553', '0.0', '[0.0, 0.0]', '[-90, -41]', '[0.0]']
['10:39:27.554', '0.0', '[0.0, 0.0]', '[-90, -49]', '[0.0]']
['10:39:27.571', '0.0', '[0.0, 0.0]', '[-90, -90]', '[0.0]']
['10:39:30.037', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-1.0]']
['10:39:30.092', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-3.0]']
['10:39:30.102', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-4.0]']
['10:39:30.139', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-28.0]']
['10:39:30.140', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-29.0]']
['10:39:30.143', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-33.0]']
['10:39:30.147', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-34.0]']
['10:39:30.151', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-39.0]']
['10:39:30.152', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-42.0]']
['10:39:30.154', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-44.0]']
['10:39:30.171', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-46.0]']
['10:39:30.172', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-56.0]']
['10:39:30.177', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-57.0]']
['10:39:30.196', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-61.0]']
['10:39:30.196', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-70.0]']
['10:39:30.198', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-71.0]']
['10:39:30.199', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-72.0]']
['10:39:30.203', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-74.0]']
['10:39:30.238', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-84.0]']
['10:39:30.246', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-87.0]']
['10:39:30.292', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-88.0]']
['10:39:30.338', '0.0', '[0.0, 0.0]', '[-90, -90]', '[-90.0]']
['10:39:53.825', '0.5', '[0.0, 0.0]', '[-90, -90]', '[-90.0]']
['10:39:54.023', '0.5', '[80, 0.0]', '[-90, -90]', '[-90.0]']
['10:39:54.222', '0.5', '[80, 0.0]', '[-74, -90]', '[-90.0]']
['10:39:54.421', '0.5', '[80, 47]', '[-74, -90]', '[-90.0]']
['10:39:54.624', '0.5', '[80, 47]', '[-74, -13]', '[-90.0]']
['10:39:54.828', '0.5', '[80, 47]', '[-74, -13]', '[62.0]']
['10:40:03.042', '0.9', '[80, 47]', '[-74, -13]', '[62.0]']
['10:40:03.259', '0.9', '[64, 47]', '[-74, -13]', '[62.0]']
['10:40:03.460', '0.9', '[64, 47]', '[-40, -13]', '[62.0]']
['10:40:03.660', '0.9', '[64, 78]', '[-40, -13]', '[62.0]']
['10:40:03.881', '0.9', '[64, 78]', '[-40, 48]', '[62.0]']
['10:40:04.086', '0.9', '[64, 78]', '[-40, 48]', '[-30.0]']
['10:40:12.487', '0.9', '[0, 78]', '[-40, 48]', '[-30.0]']
['10:40:12.678', '0.9', '[0, 78]', '[72, 48]', '[-30.0]']
['10:40:12.888', '0.9', '[0, 46]', '[72, 48]', '[-30.0]']
['10:40:13.088', '0.9', '[0, 46]', '[72, 79]', '[-30.0]']
['10:40:13.293', '0.9', '[0, 46]', '[72, 79]', '[-60.0]']
['10:40:21.502', '0.2', '[0, 46]', '[72, 79]', '[-60.0]']
['10:40:21.704', '0.2', '[16, 46]', '[72, 79]', '[-60.0]']
['10:40:21.920', '0.2', '[16, 46]', '[-25, 79]', '[-60.0]']
['10:40:22.121', '0.2', '[16, 62]', '[-25, 79]', '[-60.0]']
['10:40:22.321', '0.2', '[16, 62]', '[-25, 63]', '[-60.0]']
['10:40:22.520', '0.2', '[16, 62]', '[-25, 63]', '[-44.0]']
['10:40:30.737', '0.3', '[16, 62]', '[-25, 63]', '[-44.0]']
['10:40:30.937', '0.3', '[80, 62]', '[-25, 63]', '[-44.0]']
['10:40:31.141', '0.3', '[80, 62]', '[71, 63]', '[-44.0]']
['10:40:31.346', '0.3', '[80, 0]', '[71, 63]', '[-44.0]']
['10:40:31.555', '0.3', '[80, 0]', '[71, 78]', '[-44.0]']
['10:40:31.756', '0.3', '[80, 0]', '[71, 78]', '[-88.0]']
['10:40:39.965', '0.2', '[80, 0]', '[71, 78]', '[-88.0]']
['10:40:40.167', '0.2', '[64, 0]', '[71, 78]', '[-88.0]']
['10:40:40.370', '0.2', '[64, 0]', '[-26, 78]', '[-88.0]']
['10:40:40.790', '0.2', '[64, 0]', '[-26, 16]', '[-88.0]']
['10:40:40.986', '0.2', '[64, 0]', '[-26, 16]', '[-27.0]']
['10:40:49.202', '0.0', '[64, 0]', '[-26, 16]', '[-27.0]']
['10:40:49.400', '0.0', '[0, 0]', '[-26, 16]', '[-27.0]']
['10:40:49.601', '0.0', '[0, 0]', '[86, 16]', '[-27.0]']
['10:40:49.803', '0.0', '[0, 32]', '[86, 16]', '[-27.0]']
['10:40:50.018', '0.0', '[0, 32]', '[86, -75]', '[-27.0]']
['10:40:50.224', '0.0', '[0, 32]', '[86, -75]', '[-87.0]']
['10:40:58.455', '0.5', '[0, 32]', '[86, -75]', '[-87.0]']
['10:40:58.652', '0.5', '[16, 32]', '[86, -75]', '[-87.0]']
['10:40:58.855', '0.5', '[16, 32]', '[6, -75]', '[-87.0]']
['10:40:59.058', '0.5', '[16, 47]', '[6, -75]', '[-87.0]']
['10:40:59.274', '0.5', '[16, 47]', '[6, 48]', '[-87.0]']
['10:40:59.450', '0.5', '[16, 47]', '[6, 48]', '[-72.0]']
['10:41:07.664', '0.3', '[16, 47]', '[6, 48]', '[-72.0]']
['10:41:07.865', '0.3', '[64, 47]', '[6, 48]', '[-72.0]']
['10:41:08.062', '0.3', '[64, 47]', '[-42, 48]', '[-72.0]']
['10:41:08.265', '0.3', '[64, 78]', '[-42, 48]', '[-72.0]']
['10:41:08.467', '0.3', '[64, 78]', '[-42, -28]', '[-72.0]']
['10:41:08.671', '0.3', '[64, 78]', '[-42, -28]', '[81.0]']
['10:41:16.897', '0.8', '[64, 78]', '[-42, -28]', '[81.0]']
['10:41:17.099', '0.8', '[32, 78]', '[-42, -28]', '[81.0]']
['10:41:17.297', '0.8', '[32, 78]', '[7, -28]', '[81.0]']
['10:41:17.699', '0.8', '[32, 78]', '[7, 17]', '[81.0]']
['10:41:26.111', '0.5', '[32, 78]', '[7, 17]', '[81.0]']
['10:41:26.523', '0.5', '[32, 78]', '[70, 17]', '[81.0]']
['10:41:26.727', '0.5', '[32, 15]', '[70, 17]', '[81.0]']
['10:41:26.952', '0.5', '[32, 15]', '[70, -58]', '[81.0]']
['10:41:35.386', '0.1', '[32, 15]', '[70, -58]', '[81.0]']
['10:41:35.551', '0.1', '[48, 15]', '[70, -58]', '[81.0]']
['10:41:35.756', '0.1', '[48, 15]', '[-75, -58]', '[81.0]']
['10:41:35.991', '0.1', '[48, 62]', '[-75, -58]', '[81.0]']
['10:41:36.187', '0.1', '[48, 62]', '[-75, 64]', '[81.0]']
['10:41:36.367', '0.1', '[48, 62]', '[-75, 64]', '[50.0]']
['10:41:44.580', '0.7', '[48, 62]', '[-75, 64]', '[50.0]']
['10:41:44.796', '0.7', '[0, 62]', '[-75, 64]', '[50.0]']
['10:41:44.997', '0.7', '[0, 62]', '[-41, 64]', '[50.0]']
['10:41:45.196', '0.7', '[0, 15]', '[-41, 64]', '[50.0]']
['10:41:45.398', '0.7', '[0, 15]', '[-41, -88]', '[50.0]']
['10:41:45.618', '0.7', '[0, 15]', '[-41, -88]', '[80.0]']
['10:41:53.825', '0.1', '[0, 15]', '[-41, -88]', '[80.0]']
['10:41:54.026', '0.1', '[64, 15]', '[-41, -88]', '[80.0]']
['10:41:54.224', '0.1', '[64, 15]', '[8, -88]', '[80.0]']
['10:41:54.425', '0.1', '[64, 31]', '[8, -88]', '[80.0]']
['10:41:54.626', '0.1', '[64, 31]', '[8, 64]', '[80.0]']
['10:41:54.827', '0.1', '[64, 31]', '[8, 64]', '[-27.0]']
['10:42:03.066', '0.9', '[64, 31]', '[8, 64]', '[-27.0]']
['10:42:03.266', '0.9', '[16, 31]', '[8, 64]', '[-27.0]']
['10:42:03.447', '0.9', '[16, 31]', '[-40, 64]', '[-27.0]']
['10:42:03.663', '0.9', '[16, 0]', '[-40, 64]', '[-27.0]']
['10:42:03.854', '0.9', '[16, 0]', '[-40, -43]', '[-27.0]']
['10:42:04.108', '0.9', '[16, 0]', '[-40, -43]', '[-11.0]']
['10:42:12.273', '0.3', '[16, 0]', '[-40, -43]', '[-11.0]']
['10:42:12.475', '0.3', '[48, 0]', '[-40, -43]', '[-11.0]']
['10:42:12.678', '0.3', '[48, 0]', '[24, -43]', '[-11.0]']
['10:42:12.892', '0.3', '[48, 16]', '[24, -43]', '[-11.0]']
['10:42:13.090', '0.3', '[48, 16]', '[24, 49]', '[-11.0]']
['10:42:13.289', '0.3', '[48, 16]', '[24, 49]', '[-26.0]']
['10:42:21.525', '0.9', '[48, 16]', '[24, 49]', '[-26.0]']
['10:42:21.704', '0.9', '[0, 16]', '[24, 49]', '[-26.0]']
['10:42:21.906', '0.9', '[0, 16]', '[-39, 49]', '[-26.0]']
['10:42:22.322', '0.9', '[0, 16]', '[-39, -42]', '[-26.0]']
['10:42:22.523', '0.9', '[0, 16]', '[-39, -42]', '[80.0]']
['10:42:30.730', '0.1', '[0, 16]', '[-39, -42]', '[80.0]']
['10:42:31.182', '0.1', '[0, 16]', '[-86, -42]', '[80.0]']
['10:42:31.363', '0.1', '[0, 1]', '[-86, -42]', '[80.0]']
['10:42:31.557', '0.1', '[0, 1]', '[-86, 19]', '[80.0]']
['10:42:31.759', '0.1', '[0, 1]', '[-86, 19]', '[4.0]']
['10:42:39.986', '0.5', '[0, 1]', '[-86, 19]', '[4.0]']
['10:42:40.385', '0.5', '[0, 1]', '[11, 19]', '[4.0]']
['10:42:40.595', '0.5', '[0, 64]', '[11, 19]', '[4.0]']
['10:42:40.790', '0.5', '[0, 64]', '[11, -26]', '[4.0]']
['10:42:40.986', '0.5', '[0, 64]', '[11, -26]', '[49.0]']
['10:42:49.421', '0.5', '[64, 64]', '[11, -26]', '[49.0]']
['10:42:49.622', '0.5', '[64, 64]', '[58, -26]', '[49.0]']
['10:42:49.800', '0.5', '[64, 48]', '[58, -26]', '[49.0]']
['10:42:50.003', '0.5', '[64, 48]', '[58, 5]', '[49.0]']
['10:42:50.225', '0.5', '[64, 48]', '[58, 5]', '[-11.0]']
['10:42:58.456', '0.2', '[64, 48]', '[58, 5]', '[-11.0]']
['10:42:58.656', '0.2', '[79, 48]', '[58, 5]', '[-11.0]']
['10:42:58.830', '0.2', '[79, 48]', '[-38, 5]', '[-11.0]']
['10:42:59.034', '0.2', '[79, 33]', '[-38, 5]', '[-11.0]']
['10:42:59.237', '0.2', '[79, 33]', '[-38, 80]', '[-11.0]']
['10:42:59.457', '0.2', '[79, 33]', '[-38, 80]', '[-86.0]']
['10:43:07.867', '0.2', '[15, 33]', '[-38, 80]', '[-86.0]']
['10:43:08.068', '0.2', '[15, 33]', '[58, 80]', '[-86.0]']
['10:43:08.266', '0.2', '[15, 48]', '[58, 80]', '[-86.0]']
['10:43:08.470', '0.2', '[15, 48]', '[58, -11]', '[-86.0]']
['10:43:08.674', '0.2', '[15, 48]', '[58, -11]', '[35.0]']
['10:43:16.900', '0.6', '[15, 48]', '[58, -11]', '[35.0]']
['10:43:17.297', '0.6', '[15, 48]', '[-86, -11]', '[35.0]']
['10:43:17.496', '0.6', '[15, 64]', '[-86, -11]', '[35.0]']
['10:43:17.697', '0.6', '[15, 64]', '[-86, 19]', '[35.0]']
['10:43:17.900', '0.6', '[15, 64]', '[-86, 19]', '[-56.0]']
['10:43:26.127', '0.8', '[15, 64]', '[-86, 19]', '[-56.0]']
['10:43:26.330', '0.8', '[47, 64]', '[-86, 19]', '[-56.0]']
['10:43:26.529', '0.8', '[47, 64]', '[-22, 19]', '[-56.0]']
['10:43:26.727', '0.8', '[47, 79]', '[-22, 19]', '[-56.0]']
['10:43:26.931', '0.8', '[47, 79]', '[-22, -86]', '[-56.0]']
['10:43:27.156', '0.8', '[47, 79]', '[-22, -86]', '[51.0]']
['10:43:35.348', '0.3', '[47, 79]', '[-22, -86]', '[51.0]']
['10:43:35.754', '0.3', '[47, 79]', '[-85, -86]', '[51.0]']
['10:43:35.985', '0.3', '[47, 47]', '[-85, -86]', '[51.0]']
['10:43:36.190', '0.3', '[47, 47]', '[-85, 51]', '[51.0]']
['10:43:36.367', '0.3', '[47, 47]', '[-85, 51]', '[-85.0]']
['10:43:44.578', '0.8', '[47, 47]', '[-85, 51]', '[-85.0]']
['10:43:44.798', '0.8', '[63, 47]', '[-85, 51]', '[-85.0]']
['10:43:44.996', '0.8', '[63, 47]', '[43, 51]', '[-85.0]']
['10:43:45.191', '0.8', '[63, 63]', '[43, 51]', '[-85.0]']
['10:43:45.417', '0.8', '[63, 63]', '[43, 20]', '[-85.0]']
['10:43:45.617', '0.8', '[63, 63]', '[43, 20]', '[21.0]']
['10:43:53.824', '0.4', '[63, 63]', '[43, 20]', '[21.0]']
['10:43:54.025', '0.4', '[0, 63]', '[43, 20]', '[21.0]']
['10:43:54.223', '0.4', '[0, 63]', '[-6, 20]', '[21.0]']
['10:43:54.425', '0.4', '[0, 78]', '[-6, 20]', '[21.0]']
['10:43:54.626', '0.4', '[0, 78]', '[-6, 35]', '[21.0]']
['10:43:54.826', '0.4', '[0, 78]', '[-6, 35]', '[-39.0]']
['10:44:03.040', '0.1', '[0, 78]', '[-6, 35]', '[-39.0]']
['10:44:03.262', '0.1', '[64, 78]', '[-6, 35]', '[-39.0]']
['10:44:03.652', '0.1', '[64, 46]', '[-6, 35]', '[-39.0]']
['10:44:03.880', '0.1', '[64, 46]', '[-6, 34]', '[-39.0]']
['10:44:04.061', '0.1', '[64, 46]', '[-6, 34]', '[-83.0]']
['10:44:12.271', '0.2', '[64, 46]', '[-6, 34]', '[-83.0]']
['10:44:12.476', '0.2', '[32, 46]', '[-6, 34]', '[-83.0]']
['10:44:12.679', '0.2', '[32, 46]', '[58, 34]', '[-83.0]']
['10:44:12.910', '0.2', '[32, 0]', '[58, 34]', '[-83.0]']
['10:44:13.091', '0.2', '[32, 0]', '[58, 49]', '[-83.0]']
['10:44:13.290', '0.2', '[32, 0]', '[58, 49]', '[84.0]']
['10:44:21.501', '0.3', '[32, 0]', '[58, 49]', '[84.0]']
['10:44:21.705', '0.3', '[80, 0]', '[58, 49]', '[84.0]']
['10:44:21.925', '0.3', '[80, 0]', '[-38, 49]', '[84.0]']
['10:44:22.117', '0.3', '[80, 47]', '[-38, 49]', '[84.0]']
['10:44:22.520', '0.3', '[80, 47]', '[-38, 49]', '[53.0]']
['10:44:30.745', '0.5', '[80, 47]', '[-38, 49]', '[53.0]']
['10:44:31.149', '0.5', '[80, 47]', '[11, 49]', '[53.0]']
['10:44:31.350', '0.5', '[80, 32]', '[11, 49]', '[53.0]']
['10:44:31.549', '0.5', '[80, 32]', '[11, -57]', '[53.0]']
['10:44:31.750', '0.5', '[80, 32]', '[11, -57]', '[-8.0]']
['10:44:39.965', '0.6', '[80, 32]', '[11, -57]', '[-8.0]']
['10:44:40.374', '0.6', '[80, 32]', '[-22, -57]', '[-8.0]']
['10:44:40.781', '0.6', '[80, 32]', '[-22, 34]', '[-8.0]']
['10:44:41.005', '0.6', '[80, 32]', '[-22, 34]', '[8.0]']
['10:44:49.215', '0.2', '[80, 32]', '[-22, 34]', '[8.0]']
