['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['12:38:58.319', '0.3', '[47, 47]', '[71, 18]', '[-73.0]']
['12:38:58.505', '0.3', '[15, 47]', '[71, 18]', '[-73.0]']
['12:38:58.709', '0.3', '[15, 47]', '[7, 18]', '[-73.0]']
['12:38:58.914', '0.3', '[15, 32]', '[7, 18]', '[-73.0]']
['12:38:59.116', '0.3', '[15, 32]', '[7, 49]', '[-73.0]']
['12:39:07.536', '0.4', '[15, 32]', '[7, 49]', '[-73.0]']
['12:39:07.735', '0.4', '[63, 32]', '[7, 49]', '[-73.0]']
['12:39:08.142', '0.4', '[63, 79]', '[7, 49]', '[-73.0]']
['12:39:08.363', '0.4', '[63, 79]', '[7, 18]', '[-73.0]']
['12:39:08.564', '0.4', '[63, 79]', '[7, 18]', '[80.0]']
['12:39:16.807', '0.1', '[63, 79]', '[7, 18]', '[80.0]']
['12:39:16.985', '0.1', '[31, 79]', '[7, 18]', '[80.0]']
['12:39:17.210', '0.1', '[31, 79]', '[86, 18]', '[80.0]']
['12:39:17.412', '0.1', '[31, 16]', '[86, 18]', '[80.0]']
['12:39:17.810', '0.1', '[31, 16]', '[86, 18]', '[-27.0]']
['12:39:26.031', '0.3', '[31, 16]', '[86, 18]', '[-27.0]']
['12:39:26.226', '0.3', '[63, 16]', '[86, 18]', '[-27.0]']
['12:39:26.427', '0.3', '[63, 16]', '[6, 18]', '[-27.0]']
['12:39:26.612', '0.3', '[63, 63]', '[6, 18]', '[-27.0]']
['12:39:26.816', '0.3', '[63, 63]', '[6, -11]', '[-27.0]']
['12:39:35.251', '0.0', '[63, 63]', '[6, -11]', '[-27.0]']
['12:39:35.447', '0.0', '[15, 63]', '[6, -11]', '[-27.0]']
['12:39:35.638', '0.0', '[15, 63]', '[85, -11]', '[-27.0]']
['12:39:35.851', '0.0', '[15, 0]', '[85, -11]', '[-27.0]']
['12:39:36.053', '0.0', '[15, 0]', '[85, -26]', '[-27.0]']
['12:39:36.255', '0.0', '[15, 0]', '[85, -26]', '[-11.0]']
['12:39:44.493', '0.8', '[15, 0]', '[85, -26]', '[-11.0]']
['12:39:44.699', '0.8', '[79, 0]', '[85, -26]', '[-11.0]']
['12:39:45.298', '0.8', '[79, 0]', '[85, 34]', '[-11.0]']
['12:39:53.708', '0.4', '[79, 0]', '[85, 34]', '[-11.0]']
['12:39:54.110', '0.4', '[79, 0]', '[36, 34]', '[-11.0]']
['12:39:54.311', '0.4', '[79, 16]', '[36, 34]', '[-11.0]']
['12:39:54.514', '0.4', '[79, 16]', '[36, -11]', '[-11.0]']
['12:39:54.718', '0.4', '[79, 16]', '[36, -11]', '[5.0]']
['12:40:02.934', '0.5', '[79, 16]', '[36, -11]', '[5.0]']
['12:40:03.134', '0.5', '[63, 16]', '[36, -11]', '[5.0]']
['12:40:03.336', '0.5', '[63, 16]', '[67, -11]', '[5.0]']
['12:40:03.536', '0.5', '[63, 79]', '[67, -11]', '[5.0]']
['12:40:03.740', '0.5', '[63, 79]', '[67, 50]', '[5.0]']
['12:40:03.984', '0.5', '[63, 79]', '[67, 50]', '[-11.0]']
['12:40:12.179', '0.8', '[63, 79]', '[67, 50]', '[-11.0]']
['12:40:12.577', '0.8', '[63, 79]', '[82, 50]', '[-11.0]']
['12:40:12.781', '0.8', '[63, 1]', '[82, 50]', '[-11.0]']
['12:40:12.978', '0.8', '[63, 1]', '[82, -72]', '[-11.0]']
['12:40:13.179', '0.8', '[63, 1]', '[82, -72]', '[5.0]']
['12:40:21.392', '0.4', '[63, 1]', '[82, -72]', '[5.0]']
['12:40:21.625', '0.4', '[15, 1]', '[82, -72]', '[5.0]']
['12:40:21.826', '0.4', '[15, 1]', '[-79, -72]', '[5.0]']
['12:40:22.028', '0.4', '[15, 64]', '[-79, -72]', '[5.0]']
['12:40:22.208', '0.4', '[15, 64]', '[-79, -56]', '[5.0]']
['12:40:22.430', '0.4', '[15, 64]', '[-79, -56]', '[-86.0]']
['12:40:30.647', '0.2', '[15, 64]', '[-79, -56]', '[-86.0]']
['12:40:30.843', '0.2', '[79, 64]', '[-79, -56]', '[-86.0]']
['12:40:31.049', '0.2', '[79, 64]', '[-90, -56]', '[-86.0]']
['12:40:31.246', '0.2', '[79, 17]', '[-90, -56]', '[-86.0]']
['12:40:31.449', '0.2', '[79, 17]', '[-90, -10]', '[-86.0]']
['12:40:31.652', '0.2', '[79, 17]', '[-90, -10]', '[20.0]']
['12:40:39.864', '0.8', '[79, 17]', '[-90, -10]', '[20.0]']
['12:40:40.067', '0.8', '[0, 17]', '[-90, -10]', '[20.0]']
['12:40:40.488', '0.8', '[0, 79]', '[-90, -10]', '[20.0]']
['12:40:40.687', '0.8', '[0, 79]', '[-90, -85]', '[20.0]']
['12:40:40.886', '0.8', '[0, 79]', '[-90, -85]', '[-85.0]']
['12:40:49.094', '0.4', '[0, 79]', '[-90, -85]', '[-85.0]']
['12:40:49.312', '0.4', '[16, 79]', '[-90, -85]', '[-85.0]']
['12:40:49.513', '0.4', '[16, 79]', '[7, -85]', '[-85.0]']
['12:40:49.909', '0.4', '[16, 79]', '[7, -70]', '[-85.0]']
['12:40:50.113', '0.4', '[16, 79]', '[7, -70]', '[67.0]']
['12:40:58.534', '0.4', '[0, 79]', '[7, -70]', '[67.0]']
['12:40:58.732', '0.4', '[0, 79]', '[70, -70]', '[67.0]']
['12:40:59.159', '0.4', '[0, 79]', '[70, 37]', '[67.0]']
['12:40:59.360', '0.4', '[0, 79]', '[70, 37]', '[-71.0]']
['12:41:07.564', '0.3', '[0, 79]', '[70, 37]', '[-71.0]']
['12:41:07.778', '0.3', '[48, 79]', '[70, 37]', '[-71.0]']
['12:41:08.004', '0.3', '[48, 79]', '[-58, 37]', '[-71.0]']
['12:41:08.204', '0.3', '[48, 16]', '[-58, 37]', '[-71.0]']
['12:41:08.403', '0.3', '[48, 16]', '[-58, -39]', '[-71.0]']
['12:41:08.606', '0.3', '[48, 16]', '[-58, -39]', '[67.0]']
['12:41:16.825', '0.0', '[48, 16]', '[-58, -39]', '[67.0]']
['12:41:17.203', '0.0', '[48, 16]', '[55, -39]', '[67.0]']
['12:41:17.452', '0.0', '[48, 32]', '[55, -39]', '[67.0]']
['12:41:17.653', '0.0', '[48, 32]', '[55, 68]', '[67.0]']
['12:41:17.818', '0.0', '[48, 32]', '[55, 68]', '[-56.0]']
['12:41:26.044', '0.5', '[48, 32]', '[55, 68]', '[-56.0]']
['12:41:26.227', '0.5', '[32, 32]', '[55, 68]', '[-56.0]']
['12:41:26.446', '0.5', '[32, 32]', '[-74, 68]', '[-56.0]']
['12:41:26.666', '0.5', '[32, 79]', '[-74, 68]', '[-56.0]']
['12:41:26.874', '0.5', '[32, 79]', '[-74, -84]', '[-56.0]']
['12:41:27.072', '0.5', '[32, 79]', '[-74, -84]', '[-25.0]']
['12:41:35.268', '0.3', '[32, 79]', '[-74, -84]', '[-25.0]']
['12:41:35.467', '0.3', '[16, 79]', '[-74, -84]', '[-25.0]']
['12:41:35.668', '0.3', '[16, 79]', '[-9, -84]', '[-25.0]']
['12:41:35.885', '0.3', '[16, 32]', '[-9, -84]', '[-25.0]']
