['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['12:59:35.530', '0.6', '[0, 15]', '[58, -56]', '[7.0]']
['12:59:35.729', '0.6', '[64, 15]', '[58, -56]', '[7.0]']
['12:59:35.922', '0.6', '[64, 15]', '[-55, -56]', '[7.0]']
['12:59:36.125', '0.6', '[64, 62]', '[-55, -56]', '[7.0]']
['12:59:36.332', '0.6', '[64, 62]', '[-55, -85]', '[7.0]']
['12:59:36.548', '0.6', '[64, 62]', '[-55, -85]', '[-55.0]']
['12:59:44.748', '0.7', '[64, 62]', '[-55, -85]', '[-55.0]']
['12:59:44.954', '0.7', '[32, 62]', '[-55, -85]', '[-55.0]']
['12:59:45.157', '0.7', '[32, 62]', '[-71, -85]', '[-55.0]']
['12:59:45.373', '0.7', '[32, 0]', '[-71, -85]', '[-55.0]']
['12:59:45.572', '0.7', '[32, 0]', '[-71, -24]', '[-55.0]']
['12:59:45.773', '0.7', '[32, 0]', '[-71, -24]', '[-9.0]']
['12:59:53.980', '0.2', '[32, 0]', '[-71, -24]', '[-9.0]']
['12:59:54.198', '0.2', '[64, 0]', '[-71, -24]', '[-9.0]']
['12:59:54.416', '0.2', '[64, 0]', '[-37, -24]', '[-9.0]']
['12:59:54.617', '0.2', '[64, 16]', '[-37, -24]', '[-9.0]']
['12:59:54.816', '0.2', '[64, 16]', '[-37, 82]', '[-9.0]']
['12:59:55.017', '0.2', '[64, 16]', '[-37, 82]', '[-55.0]']
['13:00:03.208', '0.4', '[64, 16]', '[-37, 82]', '[-55.0]']
['13:00:03.441', '0.4', '[0, 16]', '[-37, 82]', '[-55.0]']
['13:00:03.666', '0.4', '[0, 16]', '[90, 82]', '[-55.0]']
['13:00:03.838', '0.4', '[0, 79]', '[90, 82]', '[-55.0]']
['13:00:04.066', '0.4', '[0, 79]', '[90, 35]', '[-55.0]']
['13:00:04.231', '0.4', '[0, 79]', '[90, 35]', '[82.0]']
['13:00:12.448', '0.6', '[0, 79]', '[90, 35]', '[82.0]']
['13:00:12.659', '0.6', '[32, 79]', '[90, 35]', '[82.0]']
['13:00:12.858', '0.6', '[32, 79]', '[73, 35]', '[82.0]']
['13:00:13.060', '0.6', '[32, 47]', '[73, 35]', '[82.0]']
['13:00:13.303', '0.6', '[32, 47]', '[73, -11]', '[82.0]']
['13:00:13.484', '0.6', '[32, 47]', '[73, -11]', '[-71.0]']
['13:00:21.679', '0.9', '[32, 47]', '[73, -11]', '[-71.0]']
['13:00:21.880', '0.9', '[16, 47]', '[73, -11]', '[-71.0]']
['13:00:22.099', '0.9', '[16, 47]', '[24, -11]', '[-71.0]']
['13:00:22.303', '0.9', '[16, 16]', '[24, -11]', '[-71.0]']
['13:00:22.502', '0.9', '[16, 16]', '[24, -41]', '[-71.0]']
['13:00:22.703', '0.9', '[16, 16]', '[24, -41]', '[-39.0]']
['13:00:31.108', '0.9', '[32, 16]', '[24, -41]', '[-39.0]']
['13:00:31.545', '0.9', '[32, 47]', '[24, -41]', '[-39.0]']
['13:00:31.727', '0.9', '[32, 47]', '[24, -10]', '[-39.0]']
['13:00:31.929', '0.9', '[32, 47]', '[24, -10]', '[22.0]']
['13:00:40.146', '0.7', '[32, 47]', '[24, -10]', '[22.0]']
['13:00:40.372', '0.7', '[48, 47]', '[24, -10]', '[22.0]']
['13:00:40.551', '0.7', '[48, 47]', '[72, -10]', '[22.0]']
['13:00:40.758', '0.7', '[48, 16]', '[72, -10]', '[22.0]']
['13:00:40.971', '0.7', '[48, 16]', '[72, 35]', '[22.0]']
['13:00:41.168', '0.7', '[48, 16]', '[72, 35]', '[8.0]']
['13:00:49.375', '0.6', '[48, 16]', '[72, 35]', '[8.0]']
['13:00:49.581', '0.6', '[64, 16]', '[72, 35]', '[8.0]']
['13:00:49.816', '0.6', '[64, 16]', '[-88, 35]', '[8.0]']
['13:00:50.016', '0.6', '[64, 1]', '[-88, 35]', '[8.0]']
['13:00:50.216', '0.6', '[64, 1]', '[-88, -11]', '[8.0]']
['13:00:50.416', '0.6', '[64, 1]', '[-88, -11]', '[-8.0]']
['13:00:58.639', '0.4', '[64, 1]', '[-88, -11]', '[-8.0]']
['13:00:58.861', '0.4', '[79, 1]', '[-88, -11]', '[-8.0]']
['13:00:59.063', '0.4', '[79, 1]', '[-8, -11]', '[-8.0]']
['13:00:59.259', '0.4', '[79, 64]', '[-8, -11]', '[-8.0]']
['13:00:59.431', '0.4', '[79, 64]', '[-8, 65]', '[-8.0]']
['13:00:59.686', '0.4', '[79, 64]', '[-8, 65]', '[-23.0]']
['13:01:07.852', '0.8', '[79, 64]', '[-8, 65]', '[-23.0]']
['13:01:08.054', '0.8', '[63, 64]', '[-8, 65]', '[-23.0]']
['13:01:08.254', '0.8', '[63, 64]', '[-87, 65]', '[-23.0]']
['13:01:08.458', '0.8', '[63, 79]', '[-87, 65]', '[-23.0]']
['13:01:08.675', '0.8', '[63, 79]', '[-87, -73]', '[-23.0]']
['13:01:08.880', '0.8', '[63, 79]', '[-87, -73]', '[22.0]']
['13:01:17.076', '0.0', '[63, 79]', '[-87, -73]', '[22.0]']
['13:01:17.280', '0.0', '[15, 79]', '[-87, -73]', '[22.0]']
['13:01:17.526', '0.0', '[15, 79]', '[89, -73]', '[22.0]']
['13:01:17.929', '0.0', '[15, 79]', '[89, 34]', '[22.0]']
['13:01:26.322', '0.6', '[15, 79]', '[89, 34]', '[22.0]']
['13:01:26.525', '0.6', '[63, 79]', '[89, 34]', '[22.0]']
['13:01:26.728', '0.6', '[63, 79]', '[-56, 34]', '[22.0]']
['13:01:26.932', '0.6', '[63, 47]', '[-56, 34]', '[22.0]']
['13:01:27.165', '0.6', '[63, 47]', '[-56, 4]', '[22.0]']
['13:01:27.367', '0.6', '[63, 47]', '[-56, 4]', '[-8.0]']
['13:01:35.571', '0.5', '[63, 47]', '[-56, 4]', '[-8.0]']
['13:01:35.794', '0.5', '[47, 47]', '[-56, 4]', '[-8.0]']
['13:01:35.964', '0.5', '[47, 47]', '[72, 4]', '[-8.0]']
['13:01:36.169', '0.5', '[47, 63]', '[72, 4]', '[-8.0]']
['13:01:36.365', '0.5', '[47, 63]', '[72, 49]', '[-8.0]']
['13:01:36.575', '0.5', '[47, 63]', '[72, 49]', '[-54.0]']
['13:01:44.782', '0.6', '[47, 63]', '[72, 49]', '[-54.0]']
['13:01:45.036', '0.6', '[0, 63]', '[72, 49]', '[-54.0]']
['13:01:45.233', '0.6', '[0, 63]', '[-88, 49]', '[-54.0]']
['13:01:45.599', '0.6', '[0, 63]', '[-88, 79]', '[-54.0]']
['13:01:45.836', '0.6', '[0, 63]', '[-88, 79]', '[22.0]']
['13:01:54.028', '0.8', '[0, 63]', '[-88, 79]', '[22.0]']
['13:01:54.229', '0.8', '[48, 63]', '[-88, 79]', '[22.0]']
['13:01:54.428', '0.8', '[48, 63]', '[-39, 79]', '[22.0]']
['13:01:54.627', '0.8', '[48, 32]', '[-39, 79]', '[22.0]']
['13:01:54.829', '0.8', '[48, 32]', '[-39, -28]', '[22.0]']
['13:01:55.055', '0.8', '[48, 32]', '[-39, -28]', '[37.0]']
['13:02:03.247', '0.3', '[48, 32]', '[-39, -28]', '[37.0]']
['13:02:03.448', '0.3', '[79, 32]', '[-39, -28]', '[37.0]']
['13:02:03.649', '0.3', '[79, 32]', '[-55, -28]', '[37.0]']
['13:02:03.853', '0.3', '[79, 16]', '[-55, -28]', '[37.0]']
['13:02:04.058', '0.3', '[79, 16]', '[-55, 17]', '[37.0]']
['13:02:04.301', '0.3', '[79, 16]', '[-55, 17]', '[-39.0]']
['13:02:12.477', '0.2', '[79, 16]', '[-55, 17]', '[-39.0]']
['13:02:12.680', '0.2', '[15, 16]', '[-55, 17]', '[-39.0]']
['13:02:12.925', '0.2', '[15, 16]', '[57, 17]', '[-39.0]']
['13:02:13.124', '0.2', '[15, 1]', '[57, 17]', '[-39.0]']
['13:02:21.720', '0.7', '[15, 1]', '[57, 17]', '[-39.0]']
['13:02:21.947', '0.7', '[79, 1]', '[57, 17]', '[-39.0]']
['13:02:22.121', '0.7', '[79, 1]', '[24, 17]', '[-39.0]']
['13:02:22.530', '0.7', '[79, 1]', '[24, 48]', '[-39.0]']
['13:02:22.763', '0.7', '[79, 1]', '[24, 48]', '[37.0]']
['13:02:30.943', '0.1', '[79, 1]', '[24, 48]', '[37.0]']
['13:02:31.386', '0.1', '[79, 1]', '[40, 48]', '[37.0]']
['13:02:31.554', '0.1', '[79, 48]', '[40, 48]', '[37.0]']
['13:02:31.764', '0.1', '[79, 48]', '[40, 3]', '[37.0]']
['13:02:31.983', '0.1', '[79, 48]', '[40, 3]', '[52.0]']
['13:02:40.433', '0.1', '[63, 48]', '[40, 3]', '[52.0]']
['13:02:40.594', '0.1', '[63, 48]', '[-88, 3]', '[52.0]']
['13:02:40.808', '0.1', '[63, 64]', '[-88, 3]', '[52.0]']
['13:02:41.013', '0.1', '[63, 64]', '[-88, 33]', '[52.0]']
['13:02:41.232', '0.1', '[63, 64]', '[-88, 33]', '[-39.0]']
['13:02:49.426', '0.7', '[63, 64]', '[-88, 33]', '[-39.0]']
['13:02:49.624', '0.7', '[79, 64]', '[-88, 33]', '[-39.0]']
['13:02:49.824', '0.7', '[79, 64]', '[56, 33]', '[-39.0]']
['13:02:50.025', '0.7', '[79, 17]', '[56, 33]', '[-39.0]']
['13:02:50.228', '0.7', '[79, 17]', '[56, -58]', '[-39.0]']
['13:02:50.432', '0.7', '[79, 17]', '[56, -58]', '[83.0]']
['13:02:58.653', '0.5', '[79, 17]', '[56, -58]', '[83.0]']
['13:02:58.849', '0.5', '[63, 17]', '[56, -58]', '[83.0]']
['13:02:59.050', '0.5', '[63, 17]', '[23, -58]', '[83.0]']
['13:02:59.477', '0.5', '[63, 17]', '[23, 79]', '[83.0]']
['13:03:07.881', '0.1', '[63, 17]', '[23, 79]', '[83.0]']
['13:03:08.121', '0.1', '[47, 17]', '[23, 79]', '[83.0]']
['13:03:08.324', '0.1', '[47, 17]', '[56, 79]', '[83.0]']
['13:03:08.520', '0.1', '[47, 64]', '[56, 79]', '[83.0]']
['13:03:08.722', '0.1', '[47, 64]', '[56, 33]', '[83.0]']
['13:03:08.900', '0.1', '[47, 64]', '[56, 33]', '[52.0]']
['13:03:17.141', '0.9', '[47, 64]', '[56, 33]', '[52.0]']
['13:03:17.560', '0.9', '[47, 64]', '[-9, 33]', '[52.0]']
['13:03:17.742', '0.9', '[47, 1]', '[-9, 33]', '[52.0]']
['13:03:17.940', '0.9', '[47, 1]', '[-9, -74]', '[52.0]']
['13:03:18.137', '0.9', '[47, 1]', '[-9, -74]', '[-55.0]']
['13:03:26.340', '0.4', '[47, 1]', '[-9, -74]', '[-55.0]']
['13:03:26.782', '0.4', '[47, 1]', '[56, -74]', '[-55.0]']
['13:03:26.951', '0.4', '[47, 33]', '[56, -74]', '[-55.0]']
['13:03:27.162', '0.4', '[47, 33]', '[56, 49]', '[-55.0]']
['13:03:27.387', '0.4', '[47, 33]', '[56, 49]', '[-9.0]']
['13:03:35.599', '0.7', '[47, 33]', '[56, 49]', '[-9.0]']
['13:03:35.797', '0.7', '[79, 33]', '[56, 49]', '[-9.0]']
['13:03:36.000', '0.7', '[79, 33]', '[-40, 49]', '[-9.0]']
['13:03:36.198', '0.7', '[79, 64]', '[-40, 49]', '[-9.0]']
['13:03:36.400', '0.7', '[79, 64]', '[-40, -87]', '[-9.0]']
['13:03:36.601', '0.7', '[79, 64]', '[-40, -87]', '[21.0]']
['13:03:44.823', '0.0', '[79, 64]', '[-40, -87]', '[21.0]']
['13:03:45.045', '0.0', '[31, 64]', '[-40, -87]', '[21.0]']
['13:03:45.224', '0.0', '[31, 64]', '[88, -87]', '[21.0]']
['13:03:45.423', '0.0', '[31, 79]', '[88, -87]', '[21.0]']
['13:03:45.645', '0.0', '[31, 79]', '[88, 5]', '[21.0]']
['13:03:45.833', '0.0', '[31, 79]', '[88, 5]', '[-9.0]']
['13:03:54.067', '0.3', '[31, 79]', '[88, 5]', '[-9.0]']
['13:03:54.270', '0.3', '[15, 79]', '[88, 5]', '[-9.0]']
['13:03:54.469', '0.3', '[15, 79]', '[-73, 5]', '[-9.0]']
['13:03:54.671', '0.3', '[15, 1]', '[-73, 5]', '[-9.0]']
['13:03:54.872', '0.3', '[15, 1]', '[-73, 19]', '[-9.0]']
['13:03:55.070', '0.3', '[15, 1]', '[-73, 19]', '[-24.0]']
['13:04:03.315', '0.1', '[15, 1]', '[-73, 19]', '[-24.0]']
['13:04:03.481', '0.1', '[79, 1]', '[-73, 19]', '[-24.0]']
['13:04:03.684', '0.1', '[79, 1]', '[-24, 19]', '[-24.0]']
['13:04:04.134', '0.1', '[79, 1]', '[-24, -72]', '[-24.0]']
['13:04:04.296', '0.1', '[79, 1]', '[-24, -72]', '[21.0]']
['13:04:12.534', '0.4', '[79, 1]', '[-24, -72]', '[21.0]']
['13:04:12.757', '0.4', '[31, 1]', '[-24, -72]', '[21.0]']
['13:04:12.958', '0.4', '[31, 1]', '[88, -72]', '[21.0]']
['13:04:13.154', '0.4', '[31, 79]', '[88, -72]', '[21.0]']
['13:04:13.339', '0.4', '[31, 79]', '[88, 20]', '[21.0]']
['13:04:13.553', '0.4', '[31, 79]', '[88, 20]', '[-84.0]']
['13:04:21.755', '0.9', '[31, 79]', '[88, 20]', '[-84.0]']
['13:04:21.959', '0.9', '[15, 79]', '[88, 20]', '[-84.0]']
['13:04:22.157', '0.9', '[15, 79]', '[8, 20]', '[-84.0]']
['13:04:22.374', '0.9', '[15, 1]', '[8, 20]', '[-84.0]']
['13:04:22.577', '0.9', '[15, 1]', '[8, -10]', '[-84.0]']
['13:04:22.777', '0.9', '[15, 1]', '[8, -10]', '[-54.0]']
['13:04:30.995', '0.1', '[15, 1]', '[8, -10]', '[-54.0]']
['13:04:31.183', '0.1', '[0, 1]', '[8, -10]', '[-54.0]']
['13:04:31.396', '0.1', '[0, 1]', '[39, -10]', '[-54.0]']
['13:04:31.597', '0.1', '[0, 79]', '[39, -10]', '[-54.0]']
['13:04:31.801', '0.1', '[0, 79]', '[39, 35]', '[-54.0]']
['13:04:31.997', '0.1', '[0, 79]', '[39, 35]', '[22.0]']
['13:04:40.215', '0.6', '[0, 79]', '[39, 35]', '[22.0]']
['13:04:40.624', '0.6', '[0, 79]', '[-10, 35]', '[22.0]']
['13:04:41.022', '0.6', '[0, 79]', '[-10, 65]', '[22.0]']
['13:04:41.229', '0.6', '[0, 79]', '[-10, 65]', '[37.0]']
['13:04:49.441', '0.7', '[0, 79]', '[-10, 65]', '[37.0]']
['13:04:49.647', '0.7', '[16, 79]', '[-10, 65]', '[37.0]']
['13:04:49.850', '0.7', '[16, 79]', '[-26, 65]', '[37.0]']
['13:04:50.059', '0.7', '[16, 16]', '[-26, 65]', '[37.0]']
['13:04:50.269', '0.7', '[16, 16]', '[-26, 4]', '[37.0]']
['13:04:50.538', '0.7', '[16, 16]', '[-26, 4]', '[-24.0]']
['13:04:58.883', '0.7', '[32, 16]', '[-26, 4]', '[-24.0]']
['13:04:59.338', '0.7', '[32, 1]', '[-26, 4]', '[-24.0]']
['13:04:59.555', '0.7', '[32, 1]', '[-26, -73]', '[-24.0]']
['13:04:59.712', '0.7', '[32, 1]', '[-26, -73]', '[7.0]']
['13:05:07.933', '0.5', '[32, 1]', '[-26, -73]', '[7.0]']
['13:05:08.356', '0.5', '[32, 1]', '[22, -73]', '[7.0]']
['13:05:08.532', '0.5', '[32, 48]', '[22, -73]', '[7.0]']
['13:05:08.734', '0.5', '[32, 48]', '[22, -72]', '[7.0]']
['13:05:08.950', '0.5', '[32, 48]', '[22, -72]', '[-84.0]']
['13:05:17.180', '0.3', '[32, 48]', '[22, -72]', '[-84.0]']
['13:05:17.355', '0.3', '[64, 48]', '[22, -72]', '[-84.0]']
['13:05:17.575', '0.3', '[64, 48]', '[-89, -72]', '[-84.0]']
['13:05:17.761', '0.3', '[64, 17]', '[-89, -72]', '[-84.0]']
['13:05:17.981', '0.3', '[64, 17]', '[-89, -56]', '[-84.0]']
['13:05:18.178', '0.3', '[64, 17]', '[-89, -56]', '[-38.0]']
['13:05:26.380', '0.5', '[64, 17]', '[-89, -56]', '[-38.0]']
['13:05:26.597', '0.5', '[79, 17]', '[-89, -56]', '[-38.0]']
['13:05:26.816', '0.5', '[79, 17]', '[-73, -56]', '[-38.0]']
['13:05:27.020', '0.5', '[79, 33]', '[-73, -56]', '[-38.0]']
['13:05:27.222', '0.5', '[79, 33]', '[-73, 66]', '[-38.0]']
['13:05:27.402', '0.5', '[79, 33]', '[-73, 66]', '[-7.0]']
['13:05:35.617', '0.2', '[79, 33]', '[-73, 66]', '[-7.0]']
['13:05:35.865', '0.2', '[63, 33]', '[-73, 66]', '[-7.0]']
['13:05:36.024', '0.2', '[63, 33]', '[-8, 66]', '[-7.0]']
['13:05:36.240', '0.2', '[63, 64]', '[-8, 66]', '[-7.0]']
['13:05:36.445', '0.2', '[63, 64]', '[-8, -86]', '[-7.0]']
['13:05:36.669', '0.2', '[63, 64]', '[-8, -86]', '[-68.0]']
['13:05:44.849', '0.8', '[63, 64]', '[-8, -86]', '[-68.0]']
['13:05:45.057', '0.8', '[15, 64]', '[-8, -86]', '[-68.0]']
['13:05:45.266', '0.8', '[15, 64]', '[40, -86]', '[-68.0]']
['13:05:45.714', '0.8', '[15, 64]', '[40, 51]', '[-68.0]']
['13:05:45.915', '0.8', '[15, 64]', '[40, 51]', '[55.0]']
['13:05:54.076', '0.2', '[15, 64]', '[40, 51]', '[55.0]']
['13:05:54.279', '0.2', '[63, 64]', '[40, 51]', '[55.0]']
['13:05:54.685', '0.2', '[63, 79]', '[40, 51]', '[55.0]']
['13:05:54.907', '0.2', '[63, 79]', '[40, 6]', '[55.0]']
['13:05:55.108', '0.2', '[63, 79]', '[40, 6]', '[-36.0]']
['13:06:03.307', '0.6', '[63, 79]', '[40, 6]', '[-36.0]']
['13:06:03.529', '0.6', '[31, 79]', '[40, 6]', '[-36.0]']
['13:06:03.729', '0.6', '[31, 79]', '[71, 6]', '[-36.0]']
['13:06:03.931', '0.6', '[31, 32]', '[71, 6]', '[-36.0]']
['13:06:04.131', '0.6', '[31, 32]', '[71, -40]', '[-36.0]']
['13:06:12.746', '0.6', '[0, 32]', '[71, -40]', '[-36.0]']
['13:06:12.946', '0.6', '[0, 32]', '[38, -40]', '[-36.0]']
['13:06:13.353', '0.6', '[0, 32]', '[38, -24]', '[-36.0]']
['13:06:13.557', '0.6', '[0, 32]', '[38, -24]', '[86.0]']
['13:06:21.770', '0.1', '[0, 32]', '[38, -24]', '[86.0]']
['13:06:22.380', '0.1', '[0, 47]', '[38, -24]', '[86.0]']
['13:06:22.590', '0.1', '[0, 47]', '[38, -39]', '[86.0]']
['13:06:22.817', '0.1', '[0, 47]', '[38, -39]', '[39.0]']
['13:06:31.041', '0.2', '[0, 47]', '[38, -39]', '[39.0]']
['13:06:31.203', '0.2', '[16, 47]', '[38, -39]', '[39.0]']
['13:06:31.406', '0.2', '[16, 47]', '[-42, -39]', '[39.0]']
['13:06:31.639', '0.2', '[16, 32]', '[-42, -39]', '[39.0]']
['13:06:31.838', '0.2', '[16, 32]', '[-42, 37]', '[39.0]']
['13:06:32.061', '0.2', '[16, 32]', '[-42, 37]', '[-7.0]']
['13:06:40.253', '0.0', '[16, 32]', '[-42, 37]', '[-7.0]']
['13:06:40.453', '0.0', '[32, 32]', '[-42, 37]', '[-7.0]']
['13:06:40.653', '0.0', '[32, 32]', '[38, 37]', '[-7.0]']
['13:06:41.051', '0.0', '[32, 32]', '[38, -9]', '[-7.0]']
['13:06:41.253', '0.0', '[32, 32]', '[38, -9]', '[-37.0]']
['13:06:49.477', '0.1', '[32, 32]', '[38, -9]', '[-37.0]']
['13:06:49.679', '0.1', '[0, 32]', '[38, -9]', '[-37.0]']
['13:06:49.877', '0.1', '[0, 32]', '[-27, -9]', '[-37.0]']
['13:06:50.076', '0.1', '[0, 16]', '[-27, -9]', '[-37.0]']
['13:06:50.279', '0.1', '[0, 16]', '[-27, -70]', '[-37.0]']
['13:06:50.484', '0.1', '[0, 16]', '[-27, -70]', '[10.0]']
['13:06:58.696', '0.8', '[0, 16]', '[-27, -70]', '[10.0]']
['13:06:58.898', '0.8', '[16, 16]', '[-27, -70]', '[10.0]']
['13:06:59.103', '0.8', '[16, 16]', '[37, -70]', '[10.0]']
['13:06:59.324', '0.8', '[16, 1]', '[37, -70]', '[10.0]']
['13:06:59.521', '0.8', '[16, 1]', '[37, 68]', '[10.0]']
['13:06:59.722', '0.8', '[16, 1]', '[37, 68]', '[70.0]']
['13:07:07.933', '0.4', '[16, 1]', '[37, 68]', '[70.0]']
['13:07:08.387', '0.4', '[16, 1]', '[53, 68]', '[70.0]']
['13:07:08.545', '0.4', '[16, 64]', '[53, 68]', '[70.0]']
['13:07:08.787', '0.4', '[16, 64]', '[53, 21]', '[70.0]']
['13:07:08.953', '0.4', '[16, 64]', '[53, 21]', '[-82.0]']
['13:07:17.185', '0.7', '[16, 64]', '[53, 21]', '[-82.0]']
['13:07:17.386', '0.7', '[48, 64]', '[53, 21]', '[-82.0]']
['13:07:17.585', '0.7', '[48, 64]', '[-59, 21]', '[-82.0]']
['13:07:17.789', '0.7', '[48, 48]', '[-59, 21]', '[-82.0]']
['13:07:18.003', '0.7', '[48, 48]', '[-59, -39]', '[-82.0]']
['13:07:18.187', '0.7', '[48, 48]', '[-59, -39]', '[70.0]']
['13:07:26.809', '0.7', '[48, 48]', '[54, -39]', '[70.0]']
['13:07:27.025', '0.7', '[48, 1]', '[54, -39]', '[70.0]']
['13:07:27.229', '0.7', '[48, 1]', '[54, -54]', '[70.0]']
['13:07:27.430', '0.7', '[48, 1]', '[54, -54]', '[38.0]']
['13:07:35.635', '0.0', '[48, 1]', '[54, -54]', '[38.0]']
['13:07:36.074', '0.0', '[48, 1]', '[-90, -54]', '[38.0]']
['13:07:36.272', '0.0', '[48, 64]', '[-90, -54]', '[38.0]']
['13:07:36.475', '0.0', '[48, 64]', '[-90, 37]', '[38.0]']
['13:07:36.674', '0.0', '[48, 64]', '[-90, 37]', '[-8.0]']
['13:07:44.896', '0.5', '[48, 64]', '[-90, 37]', '[-8.0]']
['13:07:45.095', '0.5', '[64, 64]', '[-90, 37]', '[-8.0]']
['13:07:45.297', '0.5', '[64, 64]', '[-74, 37]', '[-8.0]']
['13:07:45.518', '0.5', '[64, 48]', '[-74, 37]', '[-8.0]']
['13:07:45.721', '0.5', '[64, 48]', '[-74, 67]', '[-8.0]']
['13:07:45.944', '0.5', '[64, 48]', '[-74, 67]', '[22.0]']
['13:07:54.342', '0.5', '[16, 48]', '[-74, 67]', '[22.0]']
['13:07:54.558', '0.5', '[16, 48]', '[71, 67]', '[22.0]']
['13:07:54.716', '0.5', '[16, 64]', '[71, 67]', '[22.0]']
['13:07:54.942', '0.5', '[16, 64]', '[71, 51]', '[22.0]']
['13:07:55.141', '0.5', '[16, 64]', '[71, 51]', '[-69.0]']
['13:08:03.336', '0.3', '[16, 64]', '[71, 51]', '[-69.0]']
['13:08:03.536', '0.3', '[80, 64]', '[71, 51]', '[-69.0]']
['13:08:03.753', '0.3', '[80, 64]', '[-74, 51]', '[-69.0]']
['13:08:03.956', '0.3', '[80, 1]', '[-74, 51]', '[-69.0]']
['13:08:04.162', '0.3', '[80, 1]', '[-74, -25]', '[-69.0]']
['13:08:12.774', '0.3', '[64, 1]', '[-74, -25]', '[-69.0]']
['13:08:12.976', '0.3', '[64, 1]', '[8, -25]', '[-69.0]']
['13:08:13.175', '0.3', '[64, 48]', '[8, -25]', '[-69.0]']
['13:08:13.381', '0.3', '[64, 48]', '[8, 66]', '[-69.0]']
['13:08:13.578', '0.3', '[64, 48]', '[8, 66]', '[23.0]']
['13:08:21.798', '0.1', '[64, 48]', '[8, 66]', '[23.0]']
['13:08:22.003', '0.1', '[0, 48]', '[8, 66]', '[23.0]']
['13:08:22.224', '0.1', '[0, 48]', '[71, 66]', '[23.0]']
['13:08:22.424', '0.1', '[0, 64]', '[71, 66]', '[23.0]']
['13:08:22.630', '0.1', '[0, 64]', '[71, -86]', '[23.0]']
['13:08:22.820', '0.1', '[0, 64]', '[71, -86]', '[38.0]']
['13:08:31.045', '0.4', '[0, 64]', '[71, -86]', '[38.0]']
['13:08:31.466', '0.4', '[0, 64]', '[55, -86]', '[38.0]']
['13:08:31.669', '0.4', '[0, 48]', '[55, -86]', '[38.0]']
['13:08:31.845', '0.4', '[0, 48]', '[55, -25]', '[38.0]']
['13:08:32.046', '0.4', '[0, 48]', '[55, -25]', '[53.0]']
['13:08:40.255', '0.3', '[0, 48]', '[55, -25]', '[53.0]']
['13:08:40.664', '0.3', '[0, 48]', '[38, -25]', '[53.0]']
['13:08:40.889', '0.3', '[0, 64]', '[38, -25]', '[53.0]']
['13:08:41.116', '0.3', '[0, 64]', '[38, -71]', '[53.0]']
['13:08:49.507', '0.4', '[0, 64]', '[38, -71]', '[53.0]']
['13:08:49.909', '0.4', '[0, 64]', '[54, -71]', '[53.0]']
['13:08:50.309', '0.4', '[0, 64]', '[54, 67]', '[53.0]']
['13:08:50.530', '0.4', '[0, 64]', '[54, 67]', '[68.0]']
['13:08:58.731', '0.3', '[0, 64]', '[54, 67]', '[68.0]']
['13:08:58.955', '0.3', '[64, 64]', '[54, 67]', '[68.0]']
['13:08:59.152', '0.3', '[64, 64]', '[69, 67]', '[68.0]']
['13:08:59.333', '0.3', '[64, 33]', '[69, 67]', '[68.0]']
['13:08:59.548', '0.3', '[64, 33]', '[69, 6]', '[68.0]']
['13:08:59.748', '0.3', '[64, 33]', '[69, 6]', '[-55.0]']
['13:09:07.949', '0.1', '[64, 33]', '[69, 6]', '[-55.0]']
['13:09:08.153', '0.1', '[32, 33]', '[69, 6]', '[-55.0]']
['13:09:08.357', '0.1', '[32, 33]', '[-43, 6]', '[-55.0]']
['13:09:08.796', '0.1', '[32, 33]', '[-43, 66]', '[-55.0]']
['13:09:08.998', '0.1', '[32, 33]', '[-43, 66]', '[-24.0]']
['13:09:17.191', '0.5', '[32, 33]', '[-43, 66]', '[-24.0]']
['13:09:17.414', '0.5', '[64, 33]', '[-43, 66]', '[-24.0]']
['13:09:17.624', '0.5', '[64, 33]', '[-11, 66]', '[-24.0]']
['13:09:17.797', '0.5', '[64, 48]', '[-11, 66]', '[-24.0]']
['13:09:18.023', '0.5', '[64, 48]', '[-11, -86]', '[-24.0]']
['13:09:18.220', '0.5', '[64, 48]', '[-11, -86]', '[-84.0]']
['13:09:26.434', '0.2', '[64, 48]', '[-11, -86]', '[-84.0]']
['13:09:26.636', '0.2', '[32, 48]', '[-11, -86]', '[-84.0]']
['13:09:26.838', '0.2', '[32, 48]', '[69, -86]', '[-84.0]']
['13:09:27.231', '0.2', '[32, 48]', '[69, 35]', '[-84.0]']
['13:09:27.436', '0.2', '[32, 48]', '[69, 35]', '[8.0]']
['13:09:35.654', '0.6', '[32, 48]', '[69, 35]', '[8.0]']
['13:09:35.853', '0.6', '[80, 48]', '[69, 35]', '[8.0]']
['13:09:36.055', '0.6', '[80, 48]', '[-59, 35]', '[8.0]']
['13:09:36.257', '0.6', '[80, 33]', '[-59, 35]', '[8.0]']
['13:09:36.460', '0.6', '[80, 33]', '[-59, -56]', '[8.0]']
['13:09:36.684', '0.6', '[80, 33]', '[-59, -56]', '[83.0]']
['13:09:44.883', '0.4', '[80, 33]', '[-59, -56]', '[83.0]']
['13:09:45.129', '0.4', '[64, 33]', '[-59, -56]', '[83.0]']
['13:09:45.329', '0.4', '[64, 33]', '[37, -56]', '[83.0]']
['13:09:45.500', '0.4', '[64, 79]', '[37, -56]', '[83.0]']
