Angles_0,Angles_1,freq,amp_1,amp_2,offset_1,offset_2,phase,Potentials_0,Potentials_1,Speed
-80.21,29.85,0.9,31,32,-56,56,-22.0,-70.,39.,7.542676264745612
65.48,68.37,0.8,63,63,43,20,21.0,54.,87.,7.520565200428874
-38.25,-12.72,0.9,32,47,-29,-53,-83.0,-20.,0.,7.518321323795896
15.,27.32,0.9,63,63,-56,-5,-70.0,20.,14.,7.517386205007601
46.32,2.08,0.8,63,63,43,20,21.0,76.,22.,7.513260028414366
-25.18,14.65,0.6,16,79,-40,-5,-84.0,-23.,30.,7.493302540379472
0.51,-42.43,0.8,79,47,-6,-80,55.0,-20.,-49.,7.490853066625192
36.81,24.26,0.9,32,33,-27,54,21.0,34.,16.,7.488409954594324
-17.07,66.66,0.5,79,81,-58,-12,66.0,-26.,66.,7.480609909020038
-2.57,31.75,0.9,80,32,-73,24,39.0,8.,46.,7.449674331992556
88.82,53.8,0.4,79,63,71,-22,-24.0,95.,93.,7.449637524055698
-33.45,109.32,0.9,64,78,-55,66,-52.0,14.,92.,7.443334732141319
-12.,-42.13,0.7,64,48,56,-34,55.0,-15.,-57.,7.409996018642583
-77.75,-11.52,0.3,48,47,-87,-68,9.0,-84.,-19.,7.401182842384786
67.03,24.8,0.0,31,79,88,5,-9.0,68.,20.,7.395265239095132
-0.7,-62.68,0.7,64,48,56,-25,-80.0,-6.,-49.,7.384468429044221
-14.9,-134.13,0.8,48,80,38,-53,-24.0,-8.,-90.,7.3564122116775215
13.26,36.35,0.5,48,46,7,87,-36.0,28.,42.,7.351042118692559
11.2,30.13,0.6,48,63,56,8,82.0,8.,19.,7.350374896801895
63.13,-47.92,0.5,63,63,74,-50,-21.0,82.,8.,7.316683158952007
-60.25,55.49,0.7,48,48,-76,50,6.0,-43.,79.,7.2960815170114035
74.34,44.04,0.1,79,48,40,48,37.0,92.,45.,7.289414024916554
23.24,-82.93,0.5,79,63,54,-10,-79.0,14.,-76.,7.276179783568349
5.58,73.71,0.9,79,78,-74,37,87.0,4.,96.,7.27318422715857
-27.28,29.57,0.4,64,79,-90,-41,-24.0,-24.,61.,7.2540902740401
-74.83,-38.23,0.8,80,79,-52,-52,-24.0,-42.,-12.,7.236297725989758
-39.77,55.31,0.5,80,34,-11,51,35.0,-49.,49.,7.228984895450606
1.9,-92.92,0.0,15,79,89,34,22.0,4.,-87.,7.223335673245183
12.05,-65.71,0.9,47,80,56,21,-23.0,14.,-55.,7.219062556106562
-67.83,-11.84,0.8,32,79,-56,39,-22.0,-76.,-29.,7.214947296252701
99.21,69.64,0.6,79,78,56,-6,-36.0,95.,72.,7.188836445853307
68.02,-3.28,0.9,80,47,55,-49,-82.0,132.,-3.,7.172390850623325
15.38,117.43,0.9,64,78,-40,48,-30.0,25.,97.,7.16751566592459
35.82,77.9,0.2,48,17,-27,68,36.0,36.,81.,7.167165819051938
-138.95,-113.81,0.8,63,79,-87,-73,22.0,-6.,-87.,7.158872108923049
43.76,120.28,0.6,79,48,56,85,-68.0,71.,93.,7.121833781551883
36.44,18.89,0.9,48,47,-8,-21,-9.0,31.,11.,7.109321474698726
1.61,25.48,0.3,48,32,24,70,-70.0,8.,76.,7.0960379350827845
11.05,0.77,0.1,0,65,70,53,51.0,12.,8.,7.047671687928996
-25.23,7.28,0.2,16,16,-59,-55,7.0,-15.,12.,7.047455675471544
24.65,74.62,0.9,80,17,-27,68,36.0,46.,106.,7.044440260386727
16.47,-88.81,0.9,31,79,45,-20,73.0,57.,-90.,7.039725165237975
-119.9,-52.9,0.8,32,48,-88,-5,10.0,-87.,-50.,7.022622710619161
-12.55,72.5,0.7,0,0,6,-57,22.0,-6.,69.,7.013799723707811
-58.,71.57,0.6,79,1,8,87,-69.0,-41.,72.,6.992781803762784
