['12:03:03.313', '[-3. -4.]']
['12:03:03.327', '[-3. -4.]']
['12:03:03.337', '[-3. -4.]']
['12:03:03.350', '[-3. -4.]']
['12:03:03.363', '[-3. -4.]']
['12:03:03.383', '[-3. -4.]']
['12:03:03.410', '[-3. -4.]']
['12:03:03.432', '[-3. -4.]']
['12:03:03.458', '[-3. -4.]']
['12:03:03.485', '[-3. -4.]']
['12:03:03.510', '[-3. -4.]']
['12:03:03.533', '[-3. -4.]']
['12:03:03.561', '[-3. -4.]']
['12:03:03.581', '[-3. -4.]']
['12:03:03.610', '[-3. -4.]']
['12:03:03.631', '[-3. -4.]']
['12:03:03.660', '[-3. -4.]']
['12:03:03.681', '[-3. -4.]']
['12:03:03.709', '[-3. -4.]']
['12:03:03.733', '[-3. -4.]']
['12:03:03.760', '[-3. -4.]']
['12:03:03.782', '[-3. -4.]']
['12:03:03.810', '[-3. -4.]']
['12:03:03.832', '[-3. -4.]']
['12:03:03.860', '[-3. -4.]']
['12:03:03.885', '[-3. -4.]']
['12:03:03.911', '[-3. -4.]']
['12:03:03.934', '[-3. -4.]']
['12:03:03.960', '[-3. -4.]']
['12:03:03.983', '[-3. -4.]']
['12:03:04.010', '[-3. -4.]']
['12:03:04.033', '[-3. -4.]']
['12:03:04.061', '[-3. -4.]']
['12:03:04.084', '[-3. -4.]']
['12:03:04.111', '[-3. -4.]']
['12:03:04.133', '[-3. -4.]']
['12:03:04.161', '[-3. -4.]']
['12:03:04.183', '[-3. -4.]']
['12:03:04.211', '[-3. -4.]']
['12:03:04.234', '[-3. -4.]']
['12:03:04.260', '[-3. -4.]']
['12:03:04.283', '[-3. -4.]']
['12:03:04.311', '[-3. -4.]']
['12:03:04.333', '[-3. -4.]']
['12:03:04.360', '[-3. -4.]']
['12:03:04.383', '[-3. -4.]']
['12:03:04.411', '[-3. -4.]']
['12:03:04.434', '[-3. -4.]']
['12:03:04.459', '[-3. -4.]']
['12:03:04.483', '[-3. -4.]']
['12:03:04.510', '[-3. -4.]']
['12:03:04.534', '[-3. -4.]']
['12:03:04.560', '[-3. -4.]']
['12:03:04.581', '[-3. -4.]']
['12:03:04.610', '[-3. -4.]']
['12:03:04.632', '[-3. -4.]']
['12:03:04.658', '[-3. -4.]']
['12:03:04.682', '[-3. -4.]']
['12:03:04.709', '[-3. -4.]']
['12:03:04.734', '[-3. -4.]']
['12:03:04.758', '[-3. -4.]']
['12:03:04.782', '[-3. -4.]']
['12:03:04.807', '[-3. -4.]']
['12:03:04.832', '[-3. -4.]']
['12:03:04.857', '[-3. -4.]']
['12:03:04.884', '[-3. -4.]']
['12:03:04.909', '[-3. -4.]']
['12:03:04.935', '[-3. -4.]']
['12:03:04.958', '[-3. -4.]']
['12:03:04.984', '[-3. -4.]']
['12:03:05.008', '[-3. -4.]']
['12:03:05.033', '[-3. -4.]']
['12:03:05.056', '[-3. -4.]']
['12:03:05.081', '[-3. -4.]']
['12:03:05.108', '[-3. -4.]']
['12:03:05.133', '[-3. -4.]']
['12:03:05.156', '[-3. -4.]']
['12:03:05.181', '[-3. -4.]']
['12:03:05.206', '[-3. -4.]']
['12:03:05.233', '[-3. -4.]']
['12:03:05.259', '[-3. -4.]']
['12:03:05.285', '[-3. -4.]']
['12:03:05.308', '[-3. -4.]']
['12:03:05.334', '[-3. -4.]']
['12:03:05.358', '[-3. -4.]']
['12:03:05.384', '[-3. -4.]']
['12:03:05.408', '[-3. -4.]']
['12:03:05.434', '[-3. -4.]']
['12:03:05.456', '[-3. -4.]']
['12:03:05.483', '[-3. -4.]']
['12:03:05.508', '[-3. -4.]']
['12:03:05.534', '[-3. -4.]']
['12:03:05.559', '[-3. -4.]']
['12:03:05.584', '[-3. -4.]']
['12:03:05.608', '[-3. -4.]']
['12:03:05.632', '[-3. -4.]']
['12:03:05.657', '[-3. -4.]']
['12:03:05.685', '[-3. -4.]']
['12:03:05.709', '[-3. -4.]']
['12:03:05.774', '[-3. -4.]']
['12:03:05.795', '[-3. -4.]']
['12:03:05.814', '[-3. -4.]']
['12:03:05.832', '[-3. -4.]']
['12:03:05.851', '[-3. -4.]']
['12:03:05.866', '[-3. -4.]']
['12:03:05.886', '[-3. -4.]']
['12:03:05.909', '[-3. -4.]']
['12:03:05.960', '[-3. -4.]']
['12:03:05.977', '[-3. -4.]']
['12:03:05.993', '[-3. -4.]']
['12:03:06.010', '[-3. -4.]']
['12:03:06.036', '[-3. -4.]']
['12:03:06.061', '[-3. -4.]']
['12:03:06.083', '[-3. -4.]']
['12:03:06.108', '[-3. -4.]']
['12:03:06.134', '[-3. -4.]']
['12:03:06.158', '[-3. -4.]']
['12:03:06.184', '[-3. -4.]']
['12:03:06.206', '[-3. -4.]']
['12:03:06.234', '[-3. -4.]']
['12:03:06.258', '[-3. -4.]']
['12:03:06.283', '[-3. -4.]']
['12:03:06.307', '[-3. -4.]']
['12:03:06.335', '[-3. -4.]']
['12:03:06.359', '[-3. -4.]']
['12:03:06.385', '[-3. -4.]']
['12:03:06.409', '[-3. -4.]']
['12:03:06.433', '[-3. -4.]']
['12:03:06.456', '[-3. -4.]']
['12:03:06.483', '[-3. -4.]']
['12:03:06.508', '[-3. -4.]']
['12:03:06.534', '[-3. -4.]']
['12:03:06.559', '[-3. -4.]']
