Time,Speed (cm/s)
10:51:44.316,0.01387048256809879
10:51:47.348,0.0
10:51:50.350,0.0
10:51:53.380,0.0
10:51:56.380,0.0
10:51:59.411,0.0
10:52:02.443,0.0
10:52:05.444,0.0
10:52:08.476,0.0
10:52:11.507,0.0
10:52:14.508,0.0
10:52:17.540,0.11231139470536772
10:52:20.572,0.0
10:52:23.604,0.0
10:52:26.604,0.0
10:52:29.636,0.16649236139536375
10:52:32.636,0.010172423392100676
10:52:35.672,0.0
10:52:38.701,0.0
10:52:41.731,0.0
10:52:44.732,0.0
10:52:47.764,0.0
10:52:50.797,0.0
10:52:53.827,0.0
10:52:56.860,0.0
10:52:59.896,0.0
10:53:02.936,0.0
10:53:05.959,0.0
10:54:15.340,0.736230251502036
10:54:18.357,0.6650136372754878
10:54:21.378,0.20894847792754412
10:54:24.405,0.06666717749462839
10:54:27.438,0.0
10:54:30.469,0.0
10:54:33.470,0.0
10:54:36.505,0.0
10:54:39.533,0.0
10:54:42.534,0.0
10:54:45.565,0.0
10:54:48.565,1.2934386664497735
10:54:51.600,3.2768021771288134
10:54:54.629,6.273323737357716
10:54:57.630,4.138867951628435
10:55:00.661,7.16751566592459
10:55:03.694,6.883494379449924
10:55:06.726,4.775316938469002
10:55:09.757,2.092084235115927
10:55:12.785,1.8611863566321656
10:55:15.796,1.649095466967583
10:55:18.803,1.634570875259056
10:55:21.824,0.17039198973124214
10:55:24.854,1.430053016557113
10:55:27.855,0.9815361246322462
10:55:30.861,0.8761242854440933
10:55:33.887,0.0
10:55:36.897,0.0
10:55:39.920,0.0
10:55:42.953,1.394830114188438
10:55:45.983,0.8023719874943402
10:55:48.987,0.7471272537409234
10:55:52.001,0.0
10:55:55.029,0.0
10:55:58.040,0.0
10:56:01.043,0.0
10:56:04.049,0.0
10:56:07.075,0.0
10:56:10.076,0.0
10:56:13.077,0.0
10:56:16.108,1.761739854046716
10:56:19.141,5.06974690877321
10:56:22.172,5.383245127828883
10:56:25.206,6.673157048321757
10:56:28.236,8.496265621720058
10:56:31.236,10.13862847010265
10:56:34.270,3.783019745795082
10:56:37.299,1.4525693251123386
10:56:40.300,1.2926917820399833
10:56:43.301,1.9625907718830518
10:56:46.332,3.048641322633614
10:56:49.364,1.9431919064937704
10:56:52.397,3.942022551332713
10:56:55.428,2.4425349181187315
10:56:58.460,2.8745699864250214
10:57:01.496,8.334727218851851
10:57:04.529,1.966074785543817
10:57:07.560,1.674866727212168
10:57:10.591,0.5121256856924843
10:57:13.592,0.2006040613777415
10:57:16.625,0.05769883076180328
10:57:19.657,0.8623727033359707
10:57:22.688,1.511346783854926
10:57:25.689,2.979601695655711
10:57:28.689,2.9389093763276963
10:57:31.721,2.1620924474432206
10:57:34.755,3.169259058299995
10:57:37.784,3.3197502669230667
10:57:40.785,3.643030761180958
10:57:43.815,4.093893674785322
10:57:46.816,3.4775868821421625
10:57:49.849,1.5817351522827823
10:57:52.880,1.5705263861869192
10:57:55.881,1.161690147874509
10:57:58.913,1.1986615569790309
10:58:01.944,1.187345019532076
10:58:04.945,2.5795414802889303
10:58:07.978,1.2169736215023335
10:58:11.009,0.9883019895666416
10:58:14.039,1.0297601507795664
10:58:17.044,2.2824952436617147
10:58:20.073,1.0512701525372958
10:58:23.073,1.4598267976425925
10:58:26.106,1.3206249857894874
10:58:29.137,1.7977169733670846
10:58:32.168,2.240010025989148
10:58:35.202,2.871577745686511
10:58:38.203,2.3358633066992205
10:58:41.234,2.1088206363050226
10:58:44.235,0.9106280676128671
10:58:47.266,1.0410280297587897
10:58:50.296,1.2404625842712496
10:58:53.297,0.6178546380365119
10:58:56.299,0.15543451367582226
10:58:59.329,0.36784966892615767
10:59:02.363,1.8242798363445363
10:59:05.394,2.613569330212117
10:59:08.426,1.3100979108961106
10:59:11.429,3.3867329180972088
10:59:14.458,4.229092894308945
10:59:17.489,3.981596140522566
10:59:20.523,4.591910355438707
10:59:23.554,2.5349514601242897
10:59:26.554,2.590480276238646
10:59:29.586,3.1227760375058145
10:59:32.617,1.4334337664330876
10:59:35.618,0.9001971037840876
10:59:38.618,2.2863125700054896
10:59:41.650,4.168291801938533
10:59:44.651,3.6497090884662744
10:59:47.683,5.974733831544533
10:59:50.714,5.571206813432221
10:59:53.715,5.982944857147095
10:59:56.746,4.280011022623413
10:59:59.747,2.455448636011832
11:00:02.779,2.1340292840728785
11:00:05.779,3.296130168854208
11:00:08.810,7.520565200428874
11:00:11.844,7.513260028414366
11:00:14.875,4.760600390362743
11:00:17.875,2.5539686482779085
11:00:20.907,3.015718070749014
11:00:23.907,2.8705412604692437
11:00:26.939,2.6644820389912103
11:00:29.940,1.8296822687550458
11:00:32.977,0.85529537548962
11:00:36.004,0.7615398609402301
11:00:39.035,1.652555949381989
11:00:42.067,2.5147650205109073
11:00:45.099,3.4897595555705974
11:00:48.133,3.675200545540764
11:00:51.164,4.019347731184123
11:00:54.199,4.889674191400079
11:00:57.232,3.626137504086954
11:01:00.264,3.8235171923813596
11:01:03.295,5.756324391807447
11:01:06.328,5.04244351342824
11:01:09.360,4.145743222477003
11:01:12.393,1.889745814066707
11:01:15.422,1.6432139023790335
11:01:18.423,1.5405844749298025
11:01:21.428,1.8477341000839984
11:01:24.456,0.37049871323946065
11:01:27.488,0.24276172219207093
11:01:30.488,1.1166776415783708
11:01:33.520,0.7848515747444463
11:01:36.525,1.0350672424589102
11:01:39.553,3.974605723090014
11:01:42.583,5.001318398497101
11:01:45.586,6.0265482329356805
11:01:48.615,4.703123805254348
11:01:51.616,2.9941865671582657
11:01:54.618,3.2230140395128335
11:01:57.647,3.258963528846816
11:02:00.681,1.7836332538204893
