Snelheid,Omvang1,Positie1,Omvang2,Positie2,Relatie,Speed
8.0,60.0,15.0,30.0,-45.0,-75.0,0.7829576082713335
8.0,60.0,30.0,30.0,-60.0,-75.0,0.733048283450007
8.0,60.0,30.0,30.0,30.0,-60.0,0.3843744986765067
8.0,60.0,30.0,30.0,60.0,-90.0,1.077942481786003
8.0,60.0,30.0,60.0,-75.0,-90.0,0.4093244499456448
8.0,60.0,30.0,60.0,15.0,60.0,0.9574267900486035
8.0,60.0,45.0,45.0,-15.0,-45.0,0.796944348722458
8.0,60.0,45.0,45.0,45.0,-45.0,0.15172845687200107
8.0,60.0,60.0,60.0,60.0,-90.0,0.44700826297863766
9.0,30.0,-75.0,45.0,0.0,-60.0,0.16611626598883084
9.0,30.0,-75.0,45.0,60.0,60.0,1.4822559735389984
9.0,30.0,-75.0,60.0,30.0,-90.0,0.3251023549227172
9.0,30.0,-60.0,30.0,45.0,60.0,0.3268422229921659
9.0,30.0,-60.0,60.0,0.0,-30.0,0.3750945832174646
9.0,30.0,-45.0,30.0,0.0,-60.0,0.6043674168379697
9.0,30.0,-45.0,30.0,30.0,-45.0,0.18448903127092964
9.0,30.0,-30.0,30.0,-45.0,60.0,0.9018187574810582
9.0,30.0,-30.0,60.0,45.0,60.0,0.31875725102874974
9.0,30.0,-15.0,60.0,60.0,-90.0,0.8246155709890663
9.0,30.0,15.0,45.0,-45.0,-75.0,0.5686188744731288
9.0,30.0,15.0,60.0,-45.0,-60.0,0.4274347002692153
9.0,30.0,15.0,60.0,45.0,-75.0,0.6342202562502803
9.0,30.0,30.0,30.0,-30.0,-90.0,0.5803358302467346
9.0,30.0,30.0,45.0,-30.0,-45.0,0.8965617033603992
9.0,30.0,45.0,45.0,-30.0,60.0,0.351523297023104
9.0,30.0,60.0,30.0,30.0,-30.0,0.5343071766442932
9.0,30.0,60.0,60.0,15.0,30.0,0.8232283524367493
9.0,45.0,-75.0,45.0,30.0,-60.0,0.3031525009526281
9.0,45.0,-75.0,60.0,45.0,-30.0,0.9535402393273369
9.0,45.0,-30.0,60.0,60.0,30.0,0.9058369671568043
9.0,45.0,0.0,30.0,15.0,-45.0,0.6584016092299282
9.0,45.0,0.0,45.0,-15.0,-45.0,0.186139473377807
9.0,45.0,0.0,45.0,45.0,30.0,0.506108458341364
9.0,45.0,0.0,60.0,-60.0,-60.0,2.8058401844552003
9.0,45.0,0.0,60.0,0.0,-30.0,0.5369528341124223
9.0,45.0,15.0,45.0,60.0,-30.0,0.4010554795017686
9.0,45.0,15.0,60.0,-75.0,-75.0,0.7779765867967637
9.0,45.0,30.0,30.0,-75.0,30.0,0.5598537555168345
9.0,45.0,30.0,45.0,60.0,-60.0,0.15212280494849076
9.0,45.0,30.0,60.0,-45.0,60.0,0.5654404821870849
9.0,45.0,45.0,30.0,60.0,60.0,0.557081130585581
9.0,45.0,60.0,45.0,-45.0,-60.0,0.6066992443443289
9.0,45.0,60.0,60.0,15.0,-45.0,0.5633385965384075
9.0,60.0,-75.0,30.0,15.0,75.0,0.4541407858626297
9.0,60.0,-75.0,30.0,60.0,45.0,0.5520302691113012
9.0,60.0,-75.0,60.0,-60.0,60.0,1.4693615065205552
9.0,60.0,-60.0,45.0,-75.0,-45.0,0.3387910572914407
9.0,60.0,-60.0,45.0,-60.0,-75.0,0.8116360527800612
9.0,60.0,-45.0,45.0,-75.0,-75.0,0.376216254541984
9.0,60.0,-30.0,30.0,-30.0,30.0,0.2379518263855717
9.0,60.0,-15.0,30.0,-45.0,-45.0,0.5569832982645888
9.0,60.0,-15.0,30.0,30.0,-45.0,1.259146326248231
9.0,60.0,-15.0,60.0,-60.0,-60.0,0.8645967058673792
9.0,60.0,0.0,30.0,0.0,75.0,1.0239913428446563
9.0,60.0,0.0,45.0,0.0,-90.0,0.6645048753841494
9.0,60.0,0.0,60.0,30.0,-30.0,2.023857847643206
9.0,60.0,0.0,60.0,60.0,30.0,0.2999089669253281
9.0,60.0,15.0,45.0,0.0,-75.0,0.5760752922774414
9.0,60.0,30.0,60.0,-30.0,-75.0,0.9828120025593708
9.0,60.0,45.0,30.0,15.0,30.0,0.6015885113229135
9.0,60.0,45.0,30.0,30.0,-60.0,1.1633776881290145
9.0,60.0,45.0,45.0,-30.0,75.0,0.7362447208733084
9.0,60.0,60.0,60.0,-15.0,-30.0,0.4468197245673035
9.0,60.0,60.0,60.0,60.0,-60.0,0.5802891094916786
